1{'age_gps_data': '0.51', 'easting': 2279781.2637126297, 'latd': 44.565164525, 'lat_direction': 'N', 'timestamp': '185343.00', 'lond': 123.272790635, 'gps_qual': '4', 'ref_station_id': '0375*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674381', 'antenna_altitude': '47.646', 'geo_sep': '', 'latitude': '4433.9098715', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.70637698192}
2{'age_gps_data': '0.24', 'easting': 2279780.8121265247, 'latd': 44.565166436666665, 'lat_direction': 'N', 'timestamp': '185349.00', 'lond': 123.272796415, 'gps_qual': '4', 'ref_station_id': '0375*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677849', 'antenna_altitude': '47.665', 'geo_sep': '', 'latitude': '4433.9099862', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93442693166}
3{'age_gps_data': '0.20', 'easting': 2279780.3740547057, 'latd': 44.565168318333335, 'lat_direction': 'N', 'timestamp': '185350.00', 'lond': 123.27280202333333, 'gps_qual': '4', 'ref_station_id': '0375*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681214', 'antenna_altitude': '47.665', 'geo_sep': '', 'latitude': '4433.9100991', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.15867741685}
1{'age_gps_data': '0.26', 'easting': 2279781.2614505324, 'latd': 44.56516452166667, 'lat_direction': 'N', 'timestamp': '185344.00', 'lond': 123.27279066333334, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674398', 'antenna_altitude': '47.648', 'geo_sep': '', 'latitude': '4433.9098713', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.7060840372}
2{'age_gps_data': '1.24', 'easting': 2279780.811786767, 'latd': 44.56516645166667, 'lat_direction': 'N', 'timestamp': '185350.00', 'lond': 123.27279642, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677852', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9099871', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93610634562}
3{'age_gps_data': '0.49', 'easting': 2279780.3732989337, 'latd': 44.565168328333336, 'lat_direction': 'N', 'timestamp': '185351.00', 'lond': 123.27280203333333, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681220', 'antenna_altitude': '47.667', 'geo_sep': '', 'latitude': '4433.9100997', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.15981519781}
1{'age_gps_data': '1.26', 'easting': 2279781.2601591377, 'latd': 44.56516453, 'lat_direction': 'N', 'timestamp': '185345.00', 'lond': 123.27279068, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674408', 'antenna_altitude': '47.649', 'geo_sep': '', 'latitude': '4433.9098718', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.7070549028}
2{'age_gps_data': '0.32', 'easting': 2279780.8129077163, 'latd': 44.56516643333333, 'lat_direction': 'N', 'timestamp': '185351.00', 'lond': 123.272796405, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677843', 'antenna_altitude': '47.670', 'geo_sep': '', 'latitude': '4433.9099860', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93402949907}
3{'age_gps_data': '0.18', 'easting': 2279780.3730343007, 'latd': 44.565168328333336, 'lat_direction': 'N', 'timestamp': '185352.00', 'lond': 123.27280203666666, 'gps_qual': '4', 'ref_station_id': '0375*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681222', 'antenna_altitude': '47.668', 'geo_sep': '', 'latitude': '4433.9100997', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1598242838}
1{'age_gps_data': '0.22', 'easting': 2279781.2605358902, 'latd': 44.56516449, 'lat_direction': 'N', 'timestamp': '185346.00', 'lond': 123.27279067333333, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674404', 'antenna_altitude': '47.657', 'geo_sep': '', 'latitude': '4433.9098694', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.70259464066}
2{'age_gps_data': '0.47', 'easting': 2279780.813065452, 'latd': 44.56516644, 'lat_direction': 'N', 'timestamp': '185352.00', 'lond': 123.27279640333333, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677842', 'antenna_altitude': '47.674', 'geo_sep': '', 'latitude': '4433.9099864', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93476530351}
3{'age_gps_data': '0.53', 'easting': 2279780.3731920365, 'latd': 44.565168335, 'lat_direction': 'N', 'timestamp': '185353.00', 'lond': 123.272802035, 'gps_qual': '4', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681221', 'antenna_altitude': '47.657', 'geo_sep': '', 'latitude': '4433.9101001', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16056008916}
1{'age_gps_data': '0.47', 'easting': 2279781.2583182757, 'latd': 44.56516449833333, 'lat_direction': 'N', 'timestamp': '185347.00', 'lond': 123.27279070166666, 'gps_qual': '4', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674421', 'antenna_altitude': '47.653', 'geo_sep': '', 'latitude': '4433.9098699', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M', 'northing': 103622.7035973072}
2{'age_gps_data': '0.30', 'easting': 2279780.812725696, 'latd': 44.565166454999996, 'lat_direction': 'N', 'timestamp': '185353.00', 'lond': 123.27279640833333, 'gps_qual': '4', 'ref_station_id': '0375*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677845', 'antenna_altitude': '47.662', 'geo_sep': '', 'latitude': '4433.9099873', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93644471746}
3{'age_gps_data': '0.23', 'easting': 2279780.3721144367, 'latd': 44.56516833, 'lat_direction': 'N', 'timestamp': '185354.00', 'lond': 123.27280204833333, 'gps_qual': '4', 'ref_station_id': '0375*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681229', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9100998', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1600411702}
1{'age_gps_data': '0.20', 'easting': 2279781.260271256, 'latd': 44.56516449, 'lat_direction': 'N', 'timestamp': '185348.00', 'lond': 123.27279067666667, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674406', 'antenna_altitude': '47.653', 'geo_sep': '', 'latitude': '4433.9098694', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70260372665}
2{'age_gps_data': '1.30', 'easting': 2279780.81423202, 'latd': 44.56516646833333, 'lat_direction': 'N', 'timestamp': '185354.00', 'lond': 123.27279639, 'gps_qual': '4', 'ref_station_id': '0375*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677834', 'antenna_altitude': '47.661', 'geo_sep': '', 'latitude': '4433.9099881', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93787544128}
3{'age_gps_data': '0.51', 'easting': 2279780.374875161, 'latd': 44.56516836, 'lat_direction': 'N', 'timestamp': '185355.00', 'lond': 123.272802015, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681209', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9101016', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16328187939}
1{'age_gps_data': '0.45', 'easting': 2279781.2586464593, 'latd': 44.565164515, 'lat_direction': 'N', 'timestamp': '185349.00', 'lond': 123.27279069833334, 'gps_qual': '4', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674419', 'antenna_altitude': '47.655', 'geo_sep': '', 'latitude': '4433.9098709', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70543909073}
2{'age_gps_data': '0.18', 'easting': 2279780.816229483, 'latd': 44.565166471666664, 'lat_direction': 'N', 'timestamp': '185355.00', 'lond': 123.272796365, 'gps_qual': '4', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677819', 'antenna_altitude': '47.671', 'geo_sep': '', 'latitude': '4433.9099883', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93817747012}
3{'age_gps_data': '0.24', 'easting': 2279780.3733434174, 'latd': 44.56516834, 'lat_direction': 'N', 'timestamp': '185356.00', 'lond': 123.27280203333333, 'gps_qual': '4', 'ref_station_id': '0375*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681220', 'antenna_altitude': '47.659', 'geo_sep': '', 'latitude': '4433.9101004', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.16111080721}
1{'age_gps_data': '0.20', 'easting': 2279781.2603093847, 'latd': 44.5651645, 'lat_direction': 'N', 'timestamp': '185350.00', 'lond': 123.27279067666667, 'gps_qual': '4', 'ref_station_id': '0375*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674406', 'antenna_altitude': '47.656', 'geo_sep': '', 'latitude': '4433.9098700', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70371424966}
2{'age_gps_data': '0.49', 'easting': 2279780.8151201094, 'latd': 44.56516645833333, 'lat_direction': 'N', 'timestamp': '185356.00', 'lond': 123.27279637833334, 'gps_qual': '4', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677827', 'antenna_altitude': '47.664', 'geo_sep': '', 'latitude': '4433.9099875', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.9367331164}
3{'age_gps_data': '0.47', 'easting': 2279780.3716285173, 'latd': 44.56516830666666, 'lat_direction': 'N', 'timestamp': '185357.00', 'lond': 123.27280205333334, 'gps_qual': '4', 'ref_station_id': '0375*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681232', 'antenna_altitude': '47.668', 'geo_sep': '', 'latitude': '4433.9100984', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1574635813}
1{'age_gps_data': '0.49', 'easting': 2279781.2613869845, 'latd': 44.565164505, 'lat_direction': 'N', 'timestamp': '185351.00', 'lond': 123.27279066333334, 'gps_qual': '4', 'ref_station_id': '0375*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674398', 'antenna_altitude': '47.657', 'geo_sep': '', 'latitude': '4433.9098703', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70423316583}
