{'timestamp': '185922.00', 'gps_qual': '4', 'latitude': '4433.9099840', 'age_gps_data': '0.33', 'lon_direction': 'W', 'antenna_altitude': '47.668', 'easting': 2279780.818999516, 'geo_sep': '', 'northing': 103622.93011423759, 'lat_direction': 'N', 'lond': 123.27279632666666, 'longitude': '12316.3677796', 'latd': 44.5651664, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185924.00', 'gps_qual': '4', 'latitude': '4433.9099832', 'age_gps_data': '1.08', 'lon_direction': 'W', 'antenna_altitude': '47.667', 'easting': 2279780.8177578254, 'geo_sep': '', 'northing': 103622.92867442872, 'lat_direction': 'N', 'lond': 123.27279634166666, 'longitude': '12316.3677805', 'latd': 44.56516638666667, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185924.00', 'gps_qual': '4', 'latitude': '4433.9099832', 'age_gps_data': '1.08', 'lon_direction': 'W', 'antenna_altitude': '47.667', 'easting': 2279780.8177578254, 'geo_sep': '', 'northing': 103622.92867442872, 'lat_direction': 'N', 'lond': 123.27279634166666, 'longitude': '12316.3677805', 'latd': 44.56516638666667, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185925.00', 'gps_qual': '4', 'latitude': '4433.9099839', 'age_gps_data': '0.31', 'lon_direction': 'W', 'antenna_altitude': '47.673', 'easting': 2279780.815817555, 'geo_sep': '', 'northing': 103622.9300381802, 'lat_direction': 'N', 'lond': 123.27279636666667, 'longitude': '12316.3677820', 'latd': 44.56516639833333, 'geo_sep_units': '', 'ref_station_id': '0375*1B\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185927.00', 'gps_qual': '4', 'latitude': '4433.9099840', 'age_gps_data': '1.10', 'lon_direction': 'W', 'antenna_altitude': '47.671', 'easting': 2279780.8188672005, 'geo_sep': '', 'northing': 103622.93011878058, 'lat_direction': 'N', 'lond': 123.27279632833333, 'longitude': '12316.3677797', 'latd': 44.5651664, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185927.00', 'gps_qual': '4', 'latitude': '4433.9099840', 'age_gps_data': '1.10', 'lon_direction': 'W', 'antenna_altitude': '47.671', 'easting': 2279780.8188672005, 'geo_sep': '', 'northing': 103622.93011878058, 'lat_direction': 'N', 'lond': 123.27279632833333, 'longitude': '12316.3677797', 'latd': 44.5651664, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185928.00', 'gps_qual': '4', 'latitude': '4433.9099827', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '47.670', 'easting': 2279780.819181537, 'geo_sep': '', 'northing': 103622.92769901827, 'lat_direction': 'N', 'lond': 123.27279632333334, 'longitude': '12316.3677794', 'latd': 44.56516637833333, 'geo_sep_units': '', 'ref_station_id': '0375*1E\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185930.00', 'gps_qual': '4', 'latitude': '4433.9099828', 'age_gps_data': '1.07', 'lon_direction': 'W', 'antenna_altitude': '47.671', 'easting': 2279780.819055575, 'geo_sep': '', 'northing': 103622.92788864858, 'lat_direction': 'N', 'lond': 123.272796325, 'longitude': '12316.3677795', 'latd': 44.56516638, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185930.00', 'gps_qual': '4', 'latitude': '4433.9099828', 'age_gps_data': '1.07', 'lon_direction': 'W', 'antenna_altitude': '47.671', 'easting': 2279780.819055575, 'geo_sep': '', 'northing': 103622.92788864858, 'lat_direction': 'N', 'lond': 123.272796325, 'longitude': '12316.3677795', 'latd': 44.56516638, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185931.00', 'gps_qual': '4', 'latitude': '4433.9099825', 'age_gps_data': '0.25', 'lon_direction': 'W', 'antenna_altitude': '47.672', 'easting': 2279780.8153316365, 'geo_sep': '', 'northing': 103622.92746059038, 'lat_direction': 'N', 'lond': 123.27279637166667, 'longitude': '12316.3677823', 'latd': 44.565166375, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185932.00', 'gps_qual': '4', 'latitude': '4433.9099822', 'age_gps_data': '0.04', 'lon_direction': 'W', 'antenna_altitude': '47.668', 'easting': 2279780.8182235453, 'geo_sep': '', 'northing': 103622.92680538539, 'lat_direction': 'N', 'lond': 123.272796335, 'longitude': '12316.3677801', 'latd': 44.56516637, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
