3{'age_gps_data': '1.16', 'easting': 2279780.3795357593, 'latd': 44.56516829833333, 'lat_direction': 'N', 'timestamp': '185903.00', 'lond': 123.27280195333333, 'gps_qual': '4', 'ref_station_id': '0375*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681172', 'antenna_altitude': '47.664', 'geo_sep': '', 'latitude': '4433.9100979', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.1562655652}
1{'age_gps_data': '0.47', 'easting': 2279781.2609328427, 'latd': 44.56516449, 'lat_direction': 'N', 'timestamp': '185857.00', 'lond': 123.27279066833333, 'gps_qual': '4', 'ref_station_id': '0375*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674401', 'antenna_altitude': '47.666', 'geo_sep': '', 'latitude': '4433.9098694', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70258101169}
2{'age_gps_data': '0.12', 'easting': 2279780.8192832135, 'latd': 44.565166405, 'lat_direction': 'N', 'timestamp': '185903.00', 'lond': 123.27279632333334, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677794', 'antenna_altitude': '47.680', 'geo_sep': '', 'latitude': '4433.9099843', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93066041172}
3{'age_gps_data': '0.30', 'easting': 2279780.3779924386, 'latd': 44.56516831, 'lat_direction': 'N', 'timestamp': '185904.00', 'lond': 123.27280197333333, 'gps_qual': '4', 'ref_station_id': '0375*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681184', 'antenna_altitude': '47.668', 'geo_sep': '', 'latitude': '4433.9100986', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.15761569049}
1{'age_gps_data': '0.10', 'easting': 2279781.258916312, 'latd': 44.56516448166666, 'lat_direction': 'N', 'timestamp': '185858.00', 'lond': 123.27279069333333, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674416', 'antenna_altitude': '47.674', 'geo_sep': '', 'latitude': '4433.9098689', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70172371902}
2{'age_gps_data': '1.12', 'easting': 2279780.8177907313, 'latd': 44.56516643, 'lat_direction': 'N', 'timestamp': '185904.00', 'lond': 123.27279634333334, 'gps_qual': '4', 'ref_station_id': '0375*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677806', 'antenna_altitude': '47.677', 'geo_sep': '', 'latitude': '4433.9099858', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.9334912328}
3{'age_gps_data': '0.16', 'easting': 2279780.375679504, 'latd': 44.565168293333336, 'lat_direction': 'N', 'timestamp': '185905.00', 'lond': 123.27280200166666, 'gps_qual': '4', 'ref_station_id': '0375*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681201', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9100976', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.15584205091}
1{'age_gps_data': '1.10', 'easting': 2279781.2601643587, 'latd': 44.56516449666667, 'lat_direction': 'N', 'timestamp': '185859.00', 'lond': 123.27279067833334, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674407', 'antenna_altitude': '47.669', 'geo_sep': '', 'latitude': '4433.9098698', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.703348618}
2{'age_gps_data': '0.29', 'easting': 2279780.8178912764, 'latd': 44.56516642166667, 'lat_direction': 'N', 'timestamp': '185905.00', 'lond': 123.27279634166666, 'gps_qual': '4', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677805', 'antenna_altitude': '47.663', 'geo_sep': '', 'latitude': '4433.9099853', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.93256125692}
3{'age_gps_data': '0.49', 'easting': 2279780.3771349895, 'latd': 44.565168293333336, 'lat_direction': 'N', 'timestamp': '185906.00', 'lond': 123.27280198333334, 'gps_qual': '4', 'ref_station_id': '0375*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681190', 'antenna_altitude': '47.666', 'geo_sep': '', 'latitude': '4433.9100976', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103623.15579207893}
1{'age_gps_data': '0.34', 'easting': 2279781.260762395, 'latd': 44.56516448, 'lat_direction': 'N', 'timestamp': '185900.00', 'lond': 123.27279067, 'gps_qual': '4', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674402', 'antenna_altitude': '47.667', 'geo_sep': '', 'latitude': '4433.9098688', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103622.70147503354}
