{'timestamp': '183359.00', 'gps_qual': '4', 'latitude': '4433.9461680', 'age_gps_data': '1.34', 'lon_direction': 'W', 'antenna_altitude': '49.953', 'easting': 2279694.2763711074, 'geo_sep': '', 'northing': 103692.95295646042, 'lat_direction': 'N', 'lond': 123.273915395, 'longitude': '12316.4349237', 'latd': 44.565769466666666, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '183400.00', 'gps_qual': '4', 'latitude': '4433.9461602', 'age_gps_data': '0.32', 'lon_direction': 'W', 'antenna_altitude': '50.004', 'easting': 2279694.3126589316, 'geo_sep': '', 'northing': 103692.93725622818, 'lat_direction': 'N', 'lond': 123.27391493166667, 'longitude': '12316.4348959', 'latd': 44.56576933666667, 'geo_sep_units': '', 'ref_station_id': '0375*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183401.00', 'gps_qual': '4', 'latitude': '4433.9461572', 'age_gps_data': '0.05', 'lon_direction': 'W', 'antenna_altitude': '50.024', 'easting': 2279694.3233180805, 'geo_sep': '', 'northing': 103692.93133094534, 'lat_direction': 'N', 'lond': 123.273914795, 'longitude': '12316.4348877', 'latd': 44.565769286666665, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183402.00', 'gps_qual': '4', 'latitude': '4433.9461567', 'age_gps_data': '0.42', 'lon_direction': 'W', 'antenna_altitude': '50.019', 'easting': 2279694.3224923993, 'geo_sep': '', 'northing': 103692.93043278158, 'lat_direction': 'N', 'lond': 123.273914805, 'longitude': '12316.4348883', 'latd': 44.565769278333335, 'geo_sep_units': '', 'ref_station_id': '0375*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183403.00', 'gps_qual': '4', 'latitude': '4433.9461599', 'age_gps_data': '0.02', 'lon_direction': 'W', 'antenna_altitude': '50.018', 'easting': 2279694.318726371, 'geo_sep': '', 'northing': 103692.93649190664, 'lat_direction': 'N', 'lond': 123.273914855, 'longitude': '12316.4348913', 'latd': 44.565769331666665, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183404.00', 'gps_qual': '4', 'latitude': '4433.9461572', 'age_gps_data': '0.41', 'lon_direction': 'W', 'antenna_altitude': '50.015', 'easting': 2279694.318687037, 'geo_sep': '', 'northing': 103692.93149001244, 'lat_direction': 'N', 'lond': 123.27391485333334, 'longitude': '12316.4348912', 'latd': 44.565769286666665, 'geo_sep_units': '', 'ref_station_id': '0375*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183414.00', 'gps_qual': '4', 'latitude': '4433.9461560', 'age_gps_data': '0.14', 'lon_direction': 'W', 'antenna_altitude': '50.015', 'easting': 2279694.3069669893, 'geo_sep': '', 'northing': 103692.92966890894, 'lat_direction': 'N', 'lond': 123.273915, 'longitude': '12316.4349000', 'latd': 44.56576926666666, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183415.00', 'gps_qual': '4', 'latitude': '4433.9461594', 'age_gps_data': '1.14', 'lon_direction': 'W', 'antenna_altitude': '50.016', 'easting': 2279694.302949043, 'geo_sep': '', 'northing': 103692.93610730022, 'lat_direction': 'N', 'lond': 123.27391505333334, 'longitude': '12316.4349032', 'latd': 44.565769323333335, 'geo_sep_units': '', 'ref_station_id': '0375*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183416.00', 'gps_qual': '4', 'latitude': '4433.9461636', 'age_gps_data': '0.90', 'lon_direction': 'W', 'antenna_altitude': '49.997', 'easting': 2279694.301760583, 'geo_sep': '', 'northing': 103692.94393094722, 'lat_direction': 'N', 'lond': 123.27391507166666, 'longitude': '12316.4349043', 'latd': 44.56576939333333, 'geo_sep_units': '', 'ref_station_id': '0375*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183417.00', 'gps_qual': '4', 'latitude': '4433.9461588', 'age_gps_data': '0.08', 'lon_direction': 'W', 'antenna_altitude': '50.007', 'easting': 2279694.298676806, 'geo_sep': '', 'northing': 103692.93514221068, 'lat_direction': 'N', 'lond': 123.27391510666666, 'longitude': '12316.4349064', 'latd': 44.565769313333334, 'geo_sep_units': '', 'ref_station_id': '0375*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183418.00', 'gps_qual': '4', 'latitude': '4433.9461600', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '49.998', 'easting': 2279694.2947836295, 'geo_sep': '', 'northing': 103692.9374995986, 'lat_direction': 'N', 'lond': 123.27391515666666, 'longitude': '12316.4349094', 'latd': 44.565769333333336, 'geo_sep_units': '', 'ref_station_id': '0375*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183419.00', 'gps_qual': '4', 'latitude': '4433.9461611', 'age_gps_data': '1.46', 'lon_direction': 'W', 'antenna_altitude': '49.973', 'easting': 2279694.290487152, 'geo_sep': '', 'northing': 103692.93968553282, 'lat_direction': 'N', 'lond': 123.27391521166666, 'longitude': '12316.4349127', 'latd': 44.56576935166667, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183420.00', 'gps_qual': '4', 'latitude': '4433.9461554', 'age_gps_data': '0.02', 'lon_direction': 'W', 'antenna_altitude': '49.995', 'easting': 2279694.293697298, 'geo_sep': '', 'northing': 103692.9290128639, 'lat_direction': 'N', 'lond': 123.27391516666667, 'longitude': '12316.4349100', 'latd': 44.56576925666667, 'geo_sep_units': '', 'ref_station_id': '0375*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183421.00', 'gps_qual': '4', 'latitude': '4433.9461573', 'age_gps_data': '0.39', 'lon_direction': 'W', 'antenna_altitude': '49.965', 'easting': 2279694.297655238, 'geo_sep': '', 'northing': 103692.93239771947, 'lat_direction': 'N', 'lond': 123.27391511833333, 'longitude': '12316.4349071', 'latd': 44.565769288333335, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183422.00', 'gps_qual': '4', 'latitude': '4433.9461585', 'age_gps_data': '1.39', 'lon_direction': 'W', 'antenna_altitude': '49.969', 'easting': 2279694.295482161, 'geo_sep': '', 'northing': 103692.93469602522, 'lat_direction': 'N', 'lond': 123.27391514666667, 'longitude': '12316.4349088', 'latd': 44.56576930833333, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183423.00', 'gps_qual': '4', 'latitude': '4433.9461547', 'age_gps_data': '0.20', 'lon_direction': 'W', 'antenna_altitude': '49.987', 'easting': 2279694.3039734047, 'geo_sep': '', 'northing': 103692.92736276332, 'lat_direction': 'N', 'lond': 123.27391503666666, 'longitude': '12316.4349022', 'latd': 44.565769245, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183424.00', 'gps_qual': '4', 'latitude': '4433.9461587', 'age_gps_data': '1.20', 'lon_direction': 'W', 'antenna_altitude': '49.978', 'easting': 2279694.3022429645, 'geo_sep': '', 'northing': 103692.9348344151, 'lat_direction': 'N', 'lond': 123.27391506166667, 'longitude': '12316.4349037', 'latd': 44.565769311666664, 'geo_sep_units': '', 'ref_station_id': '0375*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183425.00', 'gps_qual': '4', 'latitude': '4433.9461507', 'age_gps_data': '0.26', 'lon_direction': 'W', 'antenna_altitude': '50.014', 'easting': 2279694.2977649113, 'geo_sep': '', 'northing': 103692.92016379815, 'lat_direction': 'N', 'lond': 123.27391511166667, 'longitude': '12316.4349067', 'latd': 44.56576917833333, 'geo_sep_units': '', 'ref_station_id': '0375*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183444.00', 'gps_qual': '4', 'latitude': '4433.9461496', 'age_gps_data': '1.29', 'lon_direction': 'W', 'antenna_altitude': '50.009', 'easting': 2279694.30854485, 'geo_sep': '', 'northing': 103692.9177551698, 'lat_direction': 'N', 'lond': 123.273914975, 'longitude': '12316.4348985', 'latd': 44.56576916, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183445.00', 'gps_qual': '4', 'latitude': '4433.9461498', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '50.009', 'easting': 2279694.305117363, 'geo_sep': '', 'northing': 103692.91824350879, 'lat_direction': 'N', 'lond': 123.27391501833333, 'longitude': '12316.4349011', 'latd': 44.565769163333336, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183446.00', 'gps_qual': '4', 'latitude': '4433.9461509', 'age_gps_data': '1.24', 'lon_direction': 'W', 'antenna_altitude': '50.007', 'easting': 2279694.30002699, 'geo_sep': '', 'northing': 103692.92045671213, 'lat_direction': 'N', 'lond': 123.27391508333334, 'longitude': '12316.4349050', 'latd': 44.56576918166667, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183447.00', 'gps_qual': '4', 'latitude': '4433.9461519', 'age_gps_data': '0.26', 'lon_direction': 'W', 'antenna_altitude': '49.996', 'easting': 2279694.2959887846, 'geo_sep': '', 'northing': 103692.92244846933, 'lat_direction': 'N', 'lond': 123.273915135, 'longitude': '12316.4349081', 'latd': 44.565769198333335, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183448.00', 'gps_qual': '4', 'latitude': '4433.9461491', 'age_gps_data': '1.26', 'lon_direction': 'W', 'antenna_altitude': '49.993', 'easting': 2279694.293826047, 'geo_sep': '', 'northing': 103692.91733420454, 'lat_direction': 'N', 'lond': 123.27391516, 'longitude': '12316.4349096', 'latd': 44.565769151666665, 'geo_sep_units': '', 'ref_station_id': '0375*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183449.00', 'gps_qual': '4', 'latitude': '4433.9461499', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '50.006', 'easting': 2279694.297449422, 'geo_sep': '', 'northing': 103692.91869219113, 'lat_direction': 'N', 'lond': 123.273915115, 'longitude': '12316.4349069', 'latd': 44.565769165, 'geo_sep_units': '', 'ref_station_id': '0375*1E\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183450.00', 'gps_qual': '4', 'latitude': '4433.9461474', 'age_gps_data': '1.24', 'lon_direction': 'W', 'antenna_altitude': '50.004', 'easting': 2279694.3040385763, 'geo_sep': '', 'northing': 103692.91383323353, 'lat_direction': 'N', 'lond': 123.27391503, 'longitude': '12316.4349018', 'latd': 44.56576912333333, 'geo_sep_units': '', 'ref_station_id': '0375*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183451.00', 'gps_qual': '4', 'latitude': '4433.9461482', 'age_gps_data': '0.22', 'lon_direction': 'W', 'antenna_altitude': '49.994', 'easting': 2279694.2960181925, 'geo_sep': '', 'northing': 103692.9155911617, 'lat_direction': 'N', 'lond': 123.27391513166667, 'longitude': '12316.4349079', 'latd': 44.56576913666667, 'geo_sep_units': '', 'ref_station_id': '0375*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183452.00', 'gps_qual': '4', 'latitude': '4433.9461502', 'age_gps_data': '1.22', 'lon_direction': 'W', 'antenna_altitude': '50.013', 'easting': 2279694.2977331243, 'geo_sep': '', 'northing': 103692.91923836339, 'lat_direction': 'N', 'lond': 123.27391511166667, 'longitude': '12316.4349067', 'latd': 44.56576917, 'geo_sep_units': '', 'ref_station_id': '0375*1A\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183453.00', 'gps_qual': '4', 'latitude': '4433.9461453', 'age_gps_data': '0.30', 'lon_direction': 'W', 'antenna_altitude': '50.009', 'easting': 2279694.3040373866, 'geo_sep': '', 'northing': 103692.9099418614, 'lat_direction': 'N', 'lond': 123.27391502833333, 'longitude': '12316.4349017', 'latd': 44.56576908833333, 'geo_sep_units': '', 'ref_station_id': '0375*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183454.00', 'gps_qual': '4', 'latitude': '4433.9461491', 'age_gps_data': '0.02', 'lon_direction': 'W', 'antenna_altitude': '50.002', 'easting': 2279694.3021619204, 'geo_sep': '', 'northing': 103692.91704788432, 'lat_direction': 'N', 'lond': 123.273915055, 'longitude': '12316.4349033', 'latd': 44.565769151666665, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183455.00', 'gps_qual': '4', 'latitude': '4433.9461509', 'age_gps_data': '0.34', 'lon_direction': 'W', 'antenna_altitude': '50.008', 'easting': 2279694.3017470897, 'geo_sep': '', 'northing': 103692.92039762996, 'lat_direction': 'N', 'lond': 123.27391506166667, 'longitude': '12316.4349037', 'latd': 44.56576918166667, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183456.00', 'gps_qual': '4', 'latitude': '4433.9461501', 'age_gps_data': '1.34', 'lon_direction': 'W', 'antenna_altitude': '50.011', 'easting': 2279694.302225494, 'geo_sep': '', 'northing': 103692.91889875475, 'lat_direction': 'N', 'lond': 123.273915055, 'longitude': '12316.4349033', 'latd': 44.56576916833333, 'geo_sep_units': '', 'ref_station_id': '0375*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183457.00', 'gps_qual': '4', 'latitude': '4433.9461492', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '50.006', 'easting': 2279694.294361664, 'geo_sep': '', 'northing': 103692.91750111245, 'lat_direction': 'N', 'lond': 123.27391515333333, 'longitude': '12316.4349092', 'latd': 44.565769153333335, 'geo_sep_units': '', 'ref_station_id': '0375*1E\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '183458.00', 'gps_qual': '4', 'latitude': '4433.9461524', 'age_gps_data': '1.24', 'lon_direction': 'W', 'antenna_altitude': '49.994', 'easting': 2279694.287552382, 'geo_sep': '', 'northing': 103692.92366477102, 'lat_direction': 'N', 'lond': 123.27391524166667, 'longitude': '12316.4349145', 'latd': 44.565769206666666, 'geo_sep_units': '', 'ref_station_id': '0375*1B\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183459.00', 'gps_qual': '4', 'latitude': '4433.9461539', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '49.977', 'easting': 2279694.2877800576, 'geo_sep': '', 'northing': 103692.9264365295, 'lat_direction': 'N', 'lond': 123.27391524, 'longitude': '12316.4349144', 'latd': 44.565769231666664, 'geo_sep_units': '', 'ref_station_id': '0375*1B\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183500.00', 'gps_qual': '4', 'latitude': '4433.9461537', 'age_gps_data': '1.24', 'lon_direction': 'W', 'antenna_altitude': '49.980', 'easting': 2279694.282210091, 'geo_sep': '', 'northing': 103692.926257235, 'lat_direction': 'N', 'lond': 123.27391531, 'longitude': '12316.4349186', 'latd': 44.56576922833333, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183501.00', 'gps_qual': '4', 'latitude': '4433.9461523', 'age_gps_data': '0.34', 'lon_direction': 'W', 'antenna_altitude': '49.976', 'easting': 2279694.273123638, 'geo_sep': '', 'northing': 103692.92397506256, 'lat_direction': 'N', 'lond': 123.27391542333334, 'longitude': '12316.4349254', 'latd': 44.565769205, 'geo_sep_units': '', 'ref_station_id': '0375*1E\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183502.00', 'gps_qual': '4', 'latitude': '4433.9461536', 'age_gps_data': '0.04', 'lon_direction': 'W', 'antenna_altitude': '49.972', 'easting': 2279694.275191016, 'geo_sep': '', 'northing': 103692.92631302215, 'lat_direction': 'N', 'lond': 123.27391539833333, 'longitude': '12316.4349239', 'latd': 44.56576922666667, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183503.00', 'gps_qual': '4', 'latitude': '4433.9461536', 'age_gps_data': '0.42', 'lon_direction': 'W', 'antenna_altitude': '49.977', 'easting': 2279694.275852593, 'geo_sep': '', 'northing': 103692.92629029788, 'lat_direction': 'N', 'lond': 123.27391539, 'longitude': '12316.4349234', 'latd': 44.56576922666667, 'geo_sep_units': '', 'ref_station_id': '0375*1E\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183504.00', 'gps_qual': '4', 'latitude': '4433.9461556', 'age_gps_data': '1.42', 'lon_direction': 'W', 'antenna_altitude': '49.976', 'easting': 2279694.2759797405, 'geo_sep': '', 'northing': 103692.9299920369, 'lat_direction': 'N', 'lond': 123.27391539, 'longitude': '12316.4349234', 'latd': 44.56576926, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183505.00', 'gps_qual': '4', 'latitude': '4433.9461546', 'age_gps_data': '0.22', 'lon_direction': 'W', 'antenna_altitude': '49.975', 'easting': 2279694.2812087857, 'geo_sep': '', 'northing': 103692.92795937788, 'lat_direction': 'N', 'lond': 123.27391532333333, 'longitude': '12316.4349194', 'latd': 44.565769243333335, 'geo_sep_units': '', 'ref_station_id': '0375*12\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183506.00', 'gps_qual': '4', 'latitude': '4433.9461532', 'age_gps_data': '1.22', 'lon_direction': 'W', 'antenna_altitude': '49.986', 'easting': 2279694.2783411555, 'geo_sep': '', 'northing': 103692.92546359915, 'lat_direction': 'N', 'lond': 123.27391535833334, 'longitude': '12316.4349215', 'latd': 44.56576922, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183507.00', 'gps_qual': '4', 'latitude': '4433.9461553', 'age_gps_data': '0.38', 'lon_direction': 'W', 'antenna_altitude': '49.970', 'easting': 2279694.280459395, 'geo_sep': '', 'northing': 103692.92928225454, 'lat_direction': 'N', 'lond': 123.27391533333333, 'longitude': '12316.4349200', 'latd': 44.565769255, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183508.00', 'gps_qual': '4', 'latitude': '4433.9461520', 'age_gps_data': '1.38', 'lon_direction': 'W', 'antenna_altitude': '49.983', 'easting': 2279694.2789264466, 'geo_sep': '', 'northing': 103692.92321983259, 'lat_direction': 'N', 'lond': 123.27391535, 'longitude': '12316.4349210', 'latd': 44.5657692, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183509.00', 'gps_qual': '4', 'latitude': '4433.9461511', 'age_gps_data': '0.22', 'lon_direction': 'W', 'antenna_altitude': '49.986', 'easting': 2279694.279927753, 'geo_sep': '', 'northing': 103692.92151768971, 'lat_direction': 'N', 'lond': 123.27391533666666, 'longitude': '12316.4349202', 'latd': 44.565769185, 'geo_sep_units': '', 'ref_station_id': '0375*1C\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183510.00', 'gps_qual': '4', 'latitude': '4433.9461499', 'age_gps_data': '1.22', 'lon_direction': 'W', 'antenna_altitude': '50.014', 'easting': 2279694.279719149, 'geo_sep': '', 'northing': 103692.91930118948, 'lat_direction': 'N', 'lond': 123.27391533833334, 'longitude': '12316.4349203', 'latd': 44.565769165, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183511.00', 'gps_qual': '4', 'latitude': '4433.9461490', 'age_gps_data': '0.34', 'lon_direction': 'W', 'antenna_altitude': '50.001', 'easting': 2279694.2844252894, 'geo_sep': '', 'northing': 103692.91747179627, 'lat_direction': 'N', 'lond': 123.27391527833333, 'longitude': '12316.4349167', 'latd': 44.56576915, 'geo_sep_units': '', 'ref_station_id': '0375*14\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183512.00', 'gps_qual': '4', 'latitude': '4433.9461492', 'age_gps_data': '1.34', 'lon_direction': 'W', 'antenna_altitude': '49.994', 'easting': 2279694.281262432, 'geo_sep': '', 'northing': 103692.91795104463, 'lat_direction': 'N', 'lond': 123.27391531833334, 'longitude': '12316.4349191', 'latd': 44.565769153333335, 'geo_sep_units': '', 'ref_station_id': '0375*10\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183513.00', 'gps_qual': '4', 'latitude': '4433.9461484', 'age_gps_data': '0.27', 'lon_direction': 'W', 'antenna_altitude': '49.973', 'easting': 2279694.273272646, 'geo_sep': '', 'northing': 103692.91674303636, 'lat_direction': 'N', 'lond': 123.27391541833333, 'longitude': '12316.4349251', 'latd': 44.56576914, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183514.00', 'gps_qual': '4', 'latitude': '4433.9461503', 'age_gps_data': '1.27', 'lon_direction': 'W', 'antenna_altitude': '49.977', 'easting': 2279694.2723349133, 'geo_sep': '', 'northing': 103692.92029604781, 'lat_direction': 'N', 'lond': 123.27391543166667, 'longitude': '12316.4349259', 'latd': 44.565769171666666, 'geo_sep_units': '', 'ref_station_id': '0375*17\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183515.00', 'gps_qual': '4', 'latitude': '4433.9461484', 'age_gps_data': '0.24', 'lon_direction': 'W', 'antenna_altitude': '49.977', 'easting': 2279694.269832444, 'geo_sep': '', 'northing': 103692.9168612007, 'lat_direction': 'N', 'lond': 123.27391546166666, 'longitude': '12316.4349277', 'latd': 44.56576914, 'geo_sep_units': '', 'ref_station_id': '0375*16\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183516.00', 'gps_qual': '4', 'latitude': '4433.9461479', 'age_gps_data': '0.02', 'lon_direction': 'W', 'antenna_altitude': '49.976', 'easting': 2279694.2740347516, 'geo_sep': '', 'northing': 103692.91579033341, 'lat_direction': 'N', 'lond': 123.27391540833334, 'longitude': '12316.4349245', 'latd': 44.56576913166667, 'geo_sep_units': '', 'ref_station_id': '0375*13\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183517.00', 'gps_qual': '4', 'latitude': '4433.9461477', 'age_gps_data': '0.38', 'lon_direction': 'W', 'antenna_altitude': '49.969', 'easting': 2279694.273360462, 'geo_sep': '', 'northing': 103692.91544288117, 'lat_direction': 'N', 'lond': 123.27391541666667, 'longitude': '12316.4349250', 'latd': 44.565769128333336, 'geo_sep_units': '', 'ref_station_id': '0375*1F\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183518.00', 'gps_qual': '4', 'latitude': '4433.9461487', 'age_gps_data': '1.38', 'lon_direction': 'W', 'antenna_altitude': '49.965', 'easting': 2279694.2723655105, 'geo_sep': '', 'northing': 103692.91733010951, 'lat_direction': 'N', 'lond': 123.27391543, 'longitude': '12316.4349258', 'latd': 44.565769145, 'geo_sep_units': '', 'ref_station_id': '0375*1A\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183519.00', 'gps_qual': '4', 'latitude': '4433.9461490', 'age_gps_data': '0.23', 'lon_direction': 'W', 'antenna_altitude': '49.957', 'easting': 2279694.269738273, 'geo_sep': '', 'northing': 103692.91797626577, 'lat_direction': 'N', 'lond': 123.27391546333334, 'longitude': '12316.4349278', 'latd': 44.56576915, 'geo_sep_units': '', 'ref_station_id': '0375*15\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
{'timestamp': '183520.00', 'gps_qual': '4', 'latitude': '4433.9461489', 'age_gps_data': '1.23', 'lon_direction': 'W', 'antenna_altitude': '49.940', 'easting': 2279694.260469834, 'geo_sep': '', 'northing': 103692.91810931358, 'lat_direction': 'N', 'lond': 123.27391558, 'longitude': '12316.4349348', 'latd': 44.56576914833333, 'geo_sep_units': '', 'ref_station_id': '0375*12\r\n', 'num_sats': '06', 'horizontal_dil': '1.5', 'altitude_units': 'M'}
