1{'age_gps_data': '0.50', 'easting': 2279607.0956550227, 'latd': 44.56740323166667, 'lat_direction': 'N', 'timestamp': '231441.00', 'lond': 123.27509206833334, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055241', 'antenna_altitude': '51.239', 'geo_sep': '', 'latitude': '4434.0441939', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59536806215}
2{'age_gps_data': '0.74', 'easting': 2279607.597206629, 'latd': 44.56740894166666, 'lat_direction': 'N', 'timestamp': '231444.00', 'lond': 123.275086025, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051615', 'antenna_altitude': '51.601', 'geo_sep': '', 'latitude': '4434.0445365', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.21298995335}
3{'age_gps_data': '', 'easting': 2279608.1036897693, 'latd': 44.56741778166667, 'lat_direction': 'N', 'timestamp': '231445.00', 'lond': 123.27508007, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5048042', 'antenna_altitude': '45.215', 'geo_sep': '', 'latitude': '4434.0450669', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.17844605818}
1{'age_gps_data': '0.77', 'easting': 2279607.0921627893, 'latd': 44.56740318333333, 'lat_direction': 'N', 'timestamp': '231442.00', 'lond': 123.27509211, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055266', 'antenna_altitude': '51.250', 'geo_sep': '', 'latitude': '4434.0441910', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.590114207}
2{'age_gps_data': '0.53', 'easting': 2279607.5956303594, 'latd': 44.56740891, 'lat_direction': 'N', 'timestamp': '231445.00', 'lond': 123.27508604333333, 'gps_qual': '2', 'ref_station_id': '0244*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051626', 'antenna_altitude': '51.602', 'geo_sep': '', 'latitude': '4434.0445346', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.20952331368}
3{'age_gps_data': '', 'easting': 2279608.1031490546, 'latd': 44.567417813333336, 'lat_direction': 'N', 'timestamp': '231446.00', 'lond': 123.27508007833333, 'gps_qual': '1', 'ref_station_id': '*0C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5048047', 'antenna_altitude': '45.214', 'geo_sep': '', 'latitude': '4434.0450688', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.1819854416}
1{'age_gps_data': '0.56', 'easting': 2279607.0936003886, 'latd': 44.567403213333336, 'lat_direction': 'N', 'timestamp': '231443.00', 'lond': 123.27509209333333, 'gps_qual': '2', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055256', 'antenna_altitude': '51.236', 'geo_sep': '', 'latitude': '4434.0441928', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.593400307}
2{'age_gps_data': '0.75', 'easting': 2279607.603935441, 'latd': 44.567408936666666, 'lat_direction': 'N', 'timestamp': '231446.00', 'lond': 123.27508594, 'gps_qual': '2', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051564', 'antenna_altitude': '51.596', 'geo_sep': '', 'latitude': '4434.0445362', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2122028172}
3{'age_gps_data': '', 'easting': 2279608.105571321, 'latd': 44.567417893333335, 'lat_direction': 'N', 'timestamp': '231447.00', 'lond': 123.27508005166666, 'gps_qual': '1', 'ref_station_id': '*05\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5048031', 'antenna_altitude': '45.208', 'geo_sep': '', 'latitude': '4434.0450736', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103879.19079686701}
1{'age_gps_data': '0.77', 'easting': 2279607.097254234, 'latd': 44.5674032, 'lat_direction': 'N', 'timestamp': '231444.00', 'lond': 123.27509204666667, 'gps_qual': '2', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055228', 'antenna_altitude': '51.229', 'geo_sep': '', 'latitude': '4434.0441920', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59179230686}
2{'age_gps_data': '0.53', 'easting': 2279607.602384613, 'latd': 44.56740891166667, 'lat_direction': 'N', 'timestamp': '231447.00', 'lond': 123.27508595833334, 'gps_qual': '2', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051575', 'antenna_altitude': '51.588', 'geo_sep': '', 'latitude': '4434.0445347', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2094765259}
