{'timestamp': '185645.00', 'gps_qual': '4', 'latitude': '4433.8951581', 'age_gps_data': '0.77', 'lon_direction': 'W', 'antenna_altitude': '47.334', 'easting': 2279951.2465795428, 'geo_sep': '', 'northing': 103589.60774865281, 'lat_direction': 'N', 'lond': 123.27063776, 'longitude': '12316.2382656', 'latd': 44.56491930166667, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '185646.00', 'gps_qual': '4', 'latitude': '4433.8951587', 'age_gps_data': '0.67', 'lon_direction': 'W', 'antenna_altitude': '47.332', 'easting': 2279951.2475438644, 'geo_sep': '', 'northing': 103589.60882739909, 'lat_direction': 'N', 'lond': 123.27063774833333, 'longitude': '12316.2382649', 'latd': 44.564919311666664, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '185647.00', 'gps_qual': '4', 'latitude': '4433.8951704', 'age_gps_data': '0.76', 'lon_direction': 'W', 'antenna_altitude': '47.370', 'easting': 2279951.2681344403, 'geo_sep': '', 'northing': 103589.62980168965, 'lat_direction': 'N', 'lond': 123.27063749833333, 'longitude': '12316.2382499', 'latd': 44.56491950666667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185648.00', 'gps_qual': '4', 'latitude': '4433.8951728', 'age_gps_data': '0.65', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279951.271594777, 'geo_sep': '', 'northing': 103589.63413029537, 'lat_direction': 'N', 'lond': 123.27063745666666, 'longitude': '12316.2382474', 'latd': 44.564919546666665, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185646.00', 'gps_qual': '4', 'latitude': '4433.8949965', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.342', 'easting': 2279952.19297446, 'geo_sep': '', 'northing': 103589.2758273445, 'lat_direction': 'N', 'lond': 123.27062571, 'longitude': '12316.2375426', 'latd': 44.564916608333334, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185650.00', 'gps_qual': '4', 'latitude': '4433.8951701', 'age_gps_data': '0.64', 'lon_direction': 'W', 'antenna_altitude': '47.373', 'easting': 2279951.268512341, 'geo_sep': '', 'northing': 103589.62923280802, 'lat_direction': 'N', 'lond': 123.27063749333334, 'longitude': '12316.2382496', 'latd': 44.564919501666665, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185648.00', 'gps_qual': '4', 'latitude': '4433.8949954', 'age_gps_data': '0.44', 'lon_direction': 'W', 'antenna_altitude': '47.339', 'easting': 2279952.1899936236, 'geo_sep': '', 'northing': 103589.27389125153, 'lat_direction': 'N', 'lond': 123.27062574666667, 'longitude': '12316.2375448', 'latd': 44.56491659, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185652.00', 'gps_qual': '4', 'latitude': '4433.8951696', 'age_gps_data': '0.61', 'lon_direction': 'W', 'antenna_altitude': '47.378', 'easting': 2279951.2680836413, 'geo_sep': '', 'northing': 103589.62832099013, 'lat_direction': 'N', 'lond': 123.27063749833333, 'longitude': '12316.2382499', 'latd': 44.564919493333335, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185650.00', 'gps_qual': '4', 'latitude': '4433.8949940', 'age_gps_data': '0.06', 'lon_direction': 'W', 'antenna_altitude': '47.344', 'easting': 2279952.1871260563, 'geo_sep': '', 'northing': 103589.27139535826, 'lat_direction': 'N', 'lond': 123.27062578166667, 'longitude': '12316.2375469', 'latd': 44.56491656666667, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185654.00', 'gps_qual': '4', 'latitude': '4433.8951711', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '47.377', 'easting': 2279951.2722807317, 'geo_sep': '', 'northing': 103589.63095657527, 'lat_direction': 'N', 'lond': 123.27063744666667, 'longitude': '12316.2382468', 'latd': 44.56491951833333, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185652.00', 'gps_qual': '4', 'latitude': '4433.8949945', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.344', 'easting': 2279952.1870254893, 'geo_sep': '', 'northing': 103589.27232533414, 'lat_direction': 'N', 'lond': 123.27062578333333, 'longitude': '12316.2375470', 'latd': 44.564916575, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
