{'timestamp': '185734.00', 'gps_qual': '4', 'latitude': '4433.8949879', 'age_gps_data': '0.51', 'lon_direction': 'W', 'antenna_altitude': '47.321', 'easting': 2279952.17999052, 'geo_sep': '', 'northing': 103589.26033654623, 'lat_direction': 'N', 'lond': 123.27062586666666, 'longitude': '12316.2375520', 'latd': 44.564916465, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185735.00', 'gps_qual': '4', 'latitude': '4433.8949895', 'age_gps_data': '0.68', 'lon_direction': 'W', 'antenna_altitude': '47.322', 'easting': 2279952.1803567507, 'geo_sep': '', 'northing': 103589.263288863, 'lat_direction': 'N', 'lond': 123.27062586333334, 'longitude': '12316.2375518', 'latd': 44.564916491666665, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185736.00', 'gps_qual': '4', 'latitude': '4433.8949877', 'age_gps_data': '0.33', 'lon_direction': 'W', 'antenna_altitude': '47.330', 'easting': 2279952.182756489, 'geo_sep': '', 'northing': 103589.25987104513, 'lat_direction': 'N', 'lond': 123.27062583166666, 'longitude': '12316.2375499', 'latd': 44.56491646166667, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185740.00', 'gps_qual': '4', 'latitude': '4433.8951643', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '47.336', 'easting': 2279951.247502506, 'geo_sep': '', 'northing': 103589.6192059042, 'lat_direction': 'N', 'lond': 123.27063775333333, 'longitude': '12316.2382652', 'latd': 44.564919405, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185741.00', 'gps_qual': '4', 'latitude': '4433.8951640', 'age_gps_data': '0.76', 'lon_direction': 'W', 'antenna_altitude': '47.330', 'easting': 2279951.248938949, 'geo_sep': '', 'northing': 103589.61860070936, 'lat_direction': 'N', 'lond': 123.270637735, 'longitude': '12316.2382641', 'latd': 44.5649194, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185739.00', 'gps_qual': '4', 'latitude': '4433.8949858', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.327', 'easting': 2279952.176813867, 'geo_sep': '', 'northing': 103589.25655412208, 'lat_direction': 'N', 'lond': 123.270625905, 'longitude': '12316.2375543', 'latd': 44.56491643, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185740.00', 'gps_qual': '4', 'latitude': '4433.8949855', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.328', 'easting': 2279952.176000912, 'geo_sep': '', 'northing': 103589.25602609757, 'lat_direction': 'N', 'lond': 123.270625915, 'longitude': '12316.2375549', 'latd': 44.564916425, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185741.00', 'gps_qual': '4', 'latitude': '4433.8949848', 'age_gps_data': '0.25', 'lon_direction': 'W', 'antenna_altitude': '47.323', 'easting': 2279952.1774119576, 'geo_sep': '', 'northing': 103589.25468055345, 'lat_direction': 'N', 'lond': 123.27062589666667, 'longitude': '12316.2375538', 'latd': 44.564916413333336, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185745.00', 'gps_qual': '4', 'latitude': '4433.8951652', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.327', 'easting': 2279951.2494120994, 'geo_sep': '', 'northing': 103589.62080813851, 'lat_direction': 'N', 'lond': 123.27063773, 'longitude': '12316.2382638', 'latd': 44.56491942, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '185743.00', 'gps_qual': '4', 'latitude': '4433.8949837', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.333', 'easting': 2279952.1799884606, 'geo_sep': '', 'northing': 103589.25255380291, 'lat_direction': 'N', 'lond': 123.27062586333334, 'longitude': '12316.2375518', 'latd': 44.564916395, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '185744.00', 'gps_qual': '4', 'latitude': '4433.8949866', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '47.333', 'easting': 2279952.1829512753, 'geo_sep': '', 'northing': 103589.25782600511, 'lat_direction': 'N', 'lond': 123.27062582833334, 'longitude': '12316.2375497', 'latd': 44.56491644333333, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
