2{'timestamp': '185853.00', 'gps_qual': '4', 'latitude': '4433.8951761', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.376', 'easting': 2279951.2649238054, 'geo_sep': '', 'northing': 103589.64047422726, 'lat_direction': 'N', 'lond': 123.27063754333334, 'longitude': '12316.2382526', 'latd': 44.564919601666666, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '185853.00', 'gps_qual': '4', 'latitude': '4433.8951761', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.376', 'easting': 2279951.2649238054, 'geo_sep': '', 'northing': 103589.64047422726, 'lat_direction': 'N', 'lond': 123.27063754333334, 'longitude': '12316.2382526', 'latd': 44.564919601666666, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '185850.00', 'gps_qual': '4', 'latitude': '4433.8949850', 'age_gps_data': '0.36', 'lon_direction': 'W', 'antenna_altitude': '47.316', 'easting': 2279952.17226427, 'geo_sep': '', 'northing': 103589.255227766, 'lat_direction': 'N', 'lond': 123.27062596166667, 'longitude': '12316.2375577', 'latd': 44.56491641666667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '185854.00', 'gps_qual': '4', 'latitude': '4433.8951751', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.378', 'easting': 2279951.2630078606, 'geo_sep': '', 'northing': 103589.63868690748, 'lat_direction': 'N', 'lond': 123.27063756666666, 'longitude': '12316.2382540', 'latd': 44.564919585, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '185854.00', 'gps_qual': '4', 'latitude': '4433.8951751', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.378', 'easting': 2279951.2630078606, 'geo_sep': '', 'northing': 103589.63868690748, 'lat_direction': 'N', 'lond': 123.27063756666666, 'longitude': '12316.2382540', 'latd': 44.564919585, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '185851.00', 'gps_qual': '4', 'latitude': '4433.8949866', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '47.320', 'easting': 2279952.1728951377, 'geo_sep': '', 'northing': 103589.25817100331, 'lat_direction': 'N', 'lond': 123.270625955, 'longitude': '12316.2375573', 'latd': 44.56491644333333, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '185855.00', 'gps_qual': '4', 'latitude': '4433.8951749', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '47.373', 'easting': 2279951.260084174, 'geo_sep': '', 'northing': 103589.63841660041, 'lat_direction': 'N', 'lond': 123.27063760333333, 'longitude': '12316.2382562', 'latd': 44.564919581666665, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '185855.00', 'gps_qual': '4', 'latitude': '4433.8951749', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '47.373', 'easting': 2279951.260084174, 'geo_sep': '', 'northing': 103589.63841660041, 'lat_direction': 'N', 'lond': 123.27063760333333, 'longitude': '12316.2382562', 'latd': 44.564919581666665, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '185852.00', 'gps_qual': '4', 'latitude': '4433.8949865', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '47.326', 'easting': 2279952.174741235, 'geo_sep': '', 'northing': 103589.25792236533, 'lat_direction': 'N', 'lond': 123.27062593166667, 'longitude': '12316.2375559', 'latd': 44.56491644166667, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '185856.00', 'gps_qual': '4', 'latitude': '4433.8950847', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '47.357', 'easting': 2279951.7250103117, 'geo_sep': '', 'northing': 103589.45532101672, 'lat_direction': 'N', 'lond': 123.270631675, 'longitude': '12316.2379005', 'latd': 44.564918078333335, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '185856.00', 'gps_qual': '4', 'latitude': '4433.8951746', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.372', 'easting': 2279951.2598004877, 'geo_sep': '', 'northing': 103589.6378704207, 'lat_direction': 'N', 'lond': 123.27063760666667, 'longitude': '12316.2382564', 'latd': 44.56491957666667, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '185853.00', 'gps_qual': '4', 'latitude': '4433.8949854', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.321', 'easting': 2279952.1761268796, 'geo_sep': '', 'northing': 103589.25583647098, 'lat_direction': 'N', 'lond': 123.27062591333333, 'longitude': '12316.2375548', 'latd': 44.56491642333334, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '185857.00', 'gps_qual': '4', 'latitude': '4433.8950821', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.356', 'easting': 2279951.7240513107, 'geo_sep': '', 'northing': 103589.45053598378, 'lat_direction': 'N', 'lond': 123.270631685, 'longitude': '12316.2379011', 'latd': 44.564918035, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '185857.00', 'gps_qual': '4', 'latitude': '4433.8951743', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '47.372', 'easting': 2279951.2628247445, 'geo_sep': '', 'northing': 103589.63721074909, 'lat_direction': 'N', 'lond': 123.27063756833333, 'longitude': '12316.2382541', 'latd': 44.564919571666664, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
