1{'timestamp': '183157.00', 'gps_qual': '1', 'latitude': '4433.9710056', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.983', 'easting': 2279804.8787471075, 'geo_sep': '', 'northing': 103735.18031818699, 'lat_direction': 'N', 'lond': 123.27254211, 'longitude': '12316.3525266', 'latd': 44.56618342666667, 'geo_sep_units': '', 'ref_station_id': '*04\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183157.00', 'gps_qual': '1', 'latitude': '4433.9710056', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.983', 'easting': 2279804.8787471075, 'geo_sep': '', 'northing': 103735.18031818699, 'lat_direction': 'N', 'lond': 123.27254211, 'longitude': '12316.3525266', 'latd': 44.56618342666667, 'geo_sep_units': '', 'ref_station_id': '*04\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '183156.00', 'gps_qual': '1', 'latitude': '4433.9710128', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.708', 'easting': 2279805.3302650694, 'geo_sep': '', 'northing': 103735.17815912515, 'lat_direction': 'N', 'lond': 123.27253642833334, 'longitude': '12316.3521857', 'latd': 44.566183546666664, 'geo_sep_units': '', 'ref_station_id': '*0C\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '183156.00', 'gps_qual': '1', 'latitude': '4433.9710128', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.708', 'easting': 2279805.3302650694, 'geo_sep': '', 'northing': 103735.17815912515, 'lat_direction': 'N', 'lond': 123.27253642833334, 'longitude': '12316.3521857', 'latd': 44.566183546666664, 'geo_sep_units': '', 'ref_station_id': '*0C\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183158.00', 'gps_qual': '1', 'latitude': '4433.9709944', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '50.030', 'easting': 2279804.896162534, 'geo_sep': '', 'northing': 103735.15896611102, 'lat_direction': 'N', 'lond': 123.27254188166667, 'longitude': '12316.3525129', 'latd': 44.56618324, 'geo_sep_units': '', 'ref_station_id': '*08\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '183157.00', 'gps_qual': '1', 'latitude': '4433.9710174', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.692', 'easting': 2279805.319972195, 'geo_sep': '', 'northing': 103735.18703653198, 'lat_direction': 'N', 'lond': 123.27253656166667, 'longitude': '12316.3521937', 'latd': 44.56618362333333, 'geo_sep_units': '', 'ref_station_id': '*01\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '183157.00', 'gps_qual': '1', 'latitude': '4433.9710174', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.692', 'easting': 2279805.319972195, 'geo_sep': '', 'northing': 103735.18703653198, 'lat_direction': 'N', 'lond': 123.27253656166667, 'longitude': '12316.3521937', 'latd': 44.56618362333333, 'geo_sep_units': '', 'ref_station_id': '*01\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183159.00', 'gps_qual': '1', 'latitude': '4433.9709962', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '50.012', 'easting': 2279804.889528866, 'geo_sep': '', 'northing': 103735.16252934467, 'lat_direction': 'N', 'lond': 123.27254196666667, 'longitude': '12316.3525180', 'latd': 44.56618327, 'geo_sep_units': '', 'ref_station_id': '*0E\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '183158.00', 'gps_qual': '1', 'latitude': '4433.9710142', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.723', 'easting': 2279805.329560141, 'geo_sep': '', 'northing': 103735.18077760097, 'lat_direction': 'N', 'lond': 123.27253643833333, 'longitude': '12316.3521863', 'latd': 44.56618357, 'geo_sep_units': '', 'ref_station_id': '*00\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183200.00', 'gps_qual': '1', 'latitude': '4433.9712842', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '50.015', 'easting': 2279804.3331867796, 'geo_sep': '', 'northing': 103735.71530826762, 'lat_direction': 'N', 'lond': 123.272549205, 'longitude': '12316.3529523', 'latd': 44.56618807, 'geo_sep_units': '', 'ref_station_id': '*0D\r\n', 'num_sats': '15', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '183159.00', 'gps_qual': '1', 'latitude': '4433.9710126', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.743', 'easting': 2279805.334089485, 'geo_sep': '', 'northing': 103735.17765721865, 'lat_direction': 'N', 'lond': 123.27253638, 'longitude': '12316.3521828', 'latd': 44.56618354333333, 'geo_sep_units': '', 'ref_station_id': '*0A\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '183159.00', 'gps_qual': '1', 'latitude': '4433.9710126', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.743', 'easting': 2279805.334089485, 'geo_sep': '', 'northing': 103735.17765721865, 'lat_direction': 'N', 'lond': 123.27253638, 'longitude': '12316.3521828', 'latd': 44.56618354333333, 'geo_sep_units': '', 'ref_station_id': '*0A\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183201.00', 'gps_qual': '2', 'latitude': '4433.9703960', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '48.753', 'easting': 2279805.158890002, 'geo_sep': '', 'northing': 103734.04107979406, 'lat_direction': 'N', 'lond': 123.27253809333334, 'longitude': '12316.3522856', 'latd': 44.56617326666667, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
3{'timestamp': '183201.00', 'gps_qual': '2', 'latitude': '4433.9703960', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '48.753', 'easting': 2279805.158890002, 'geo_sep': '', 'northing': 103734.04107979406, 'lat_direction': 'N', 'lond': 123.27253809333334, 'longitude': '12316.3522856', 'latd': 44.56617326666667, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
1{'timestamp': '183200.00', 'gps_qual': '1', 'latitude': '4433.9710142', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '49.741', 'easting': 2279805.3364404994, 'geo_sep': '', 'northing': 103735.18054139148, 'lat_direction': 'N', 'lond': 123.27253635166667, 'longitude': '12316.3521811', 'latd': 44.56618357, 'geo_sep_units': '', 'ref_station_id': '*0F\r\n', 'num_sats': '16', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '183202.00', 'gps_qual': '2', 'latitude': '4433.9700692', 'age_gps_data': '0.26', 'lon_direction': 'W', 'antenna_altitude': '48.731', 'easting': 2279805.6014902787, 'geo_sep': '', 'northing': 103733.42030736338, 'lat_direction': 'N', 'lond': 123.27253225666666, 'longitude': '12316.3519354', 'latd': 44.56616782, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
3{'timestamp': '183202.00', 'gps_qual': '2', 'latitude': '4433.9703907', 'age_gps_data': '0.30', 'lon_direction': 'W', 'antenna_altitude': '48.762', 'easting': 2279805.159611747, 'geo_sep': '', 'northing': 103734.03123383597, 'lat_direction': 'N', 'lond': 123.27253808, 'longitude': '12316.3522848', 'latd': 44.56617317833334, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
