3{'timestamp': '183400.00', 'gps_qual': '4', 'latitude': '4433.9703911', 'age_gps_data': '0.16', 'lon_direction': 'W', 'antenna_altitude': '48.322', 'easting': 2279805.1096222373, 'geo_sep': '', 'northing': 103734.0336912442, 'lat_direction': 'N', 'lond': 123.27253871, 'longitude': '12316.3523226', 'latd': 44.566173185, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
1{'timestamp': '183400.00', 'gps_qual': '4', 'latitude': '4433.9702513', 'age_gps_data': '0.12', 'lon_direction': 'W', 'antenna_altitude': '48.344', 'easting': 2279805.538038884, 'geo_sep': '', 'northing': 103733.75992657058, 'lat_direction': 'N', 'lond': 123.27253320166666, 'longitude': '12316.3519921', 'latd': 44.566170855, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '183400.00', 'gps_qual': '4', 'latitude': '4433.9702513', 'age_gps_data': '0.12', 'lon_direction': 'W', 'antenna_altitude': '48.344', 'easting': 2279805.538038884, 'geo_sep': '', 'northing': 103733.75992657058, 'lat_direction': 'N', 'lond': 123.27253320166666, 'longitude': '12316.3519921', 'latd': 44.566170855, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '183401.00', 'gps_qual': '4', 'latitude': '4433.9703930', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '48.318', 'easting': 2279805.1077582478, 'geo_sep': '', 'northing': 103734.03727603797, 'lat_direction': 'N', 'lond': 123.272538735, 'longitude': '12316.3523241', 'latd': 44.56617321666667, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '183401.00', 'gps_qual': '4', 'latitude': '4433.9702546', 'age_gps_data': '0.55', 'lon_direction': 'W', 'antenna_altitude': '48.337', 'easting': 2279805.5373223685, 'geo_sep': '', 'northing': 103733.76606624201, 'lat_direction': 'N', 'lond': 123.27253321333333, 'longitude': '12316.3519928', 'latd': 44.56617091, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
1{'timestamp': '183401.00', 'gps_qual': '4', 'latitude': '4433.9702546', 'age_gps_data': '0.55', 'lon_direction': 'W', 'antenna_altitude': '48.337', 'easting': 2279805.5373223685, 'geo_sep': '', 'northing': 103733.76606624201, 'lat_direction': 'N', 'lond': 123.27253321333333, 'longitude': '12316.3519928', 'latd': 44.56617091, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '183402.00', 'gps_qual': '4', 'latitude': '4433.9703938', 'age_gps_data': '0.20', 'lon_direction': 'W', 'antenna_altitude': '48.327', 'easting': 2279805.1071475083, 'geo_sep': '', 'northing': 103734.03877944592, 'lat_direction': 'N', 'lond': 123.27253874333333, 'longitude': '12316.3523246', 'latd': 44.56617323, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
1{'timestamp': '183359.00', 'gps_qual': '4', 'latitude': '4433.9701267', 'age_gps_data': '0.65', 'lon_direction': 'W', 'antenna_altitude': '48.341', 'easting': 2279805.9668921432, 'geo_sep': '', 'northing': 103733.5143133346, 'lat_direction': 'N', 'lond': 123.2725277, 'longitude': '12316.3516620', 'latd': 44.566168778333335, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
2{'timestamp': '183402.00', 'gps_qual': '4', 'latitude': '4433.9702535', 'age_gps_data': '0.14', 'lon_direction': 'W', 'antenna_altitude': '48.344', 'easting': 2279805.5384433046, 'geo_sep': '', 'northing': 103733.76398940198, 'lat_direction': 'N', 'lond': 123.27253319833333, 'longitude': '12316.3519919', 'latd': 44.566170891666665, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
3{'timestamp': '183403.00', 'gps_qual': '4', 'latitude': '4433.9703930', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '48.340', 'easting': 2279805.1105368547, 'geo_sep': '', 'northing': 103734.03718064539, 'lat_direction': 'N', 'lond': 123.2725387, 'longitude': '12316.3523220', 'latd': 44.56617321666667, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
1{'timestamp': '183403.00', 'gps_qual': '4', 'latitude': '4433.9702533', 'age_gps_data': '0.51', 'lon_direction': 'W', 'antenna_altitude': '48.353', 'easting': 2279805.5429292936, 'geo_sep': '', 'northing': 103733.76346478425, 'lat_direction': 'N', 'lond': 123.27253314166667, 'longitude': '12316.3519885', 'latd': 44.56617088833333, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '08', 'horizontal_dil': '1.1', 'altitude_units': 'M'}
