2{'timestamp': '195849.00', 'gps_qual': '1', 'latitude': '4433.9751648', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '58.115', 'easting': 2279711.7441462968, 'geo_sep': '', 'northing': 103746.0856173383, 'lat_direction': 'N', 'lond': 123.27371858666666, 'longitude': '12316.4231152', 'latd': 44.56625274666666, 'geo_sep_units': '', 'ref_station_id': '*05\r\n', 'num_sats': '13', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '195844.00', 'gps_qual': '2', 'latitude': '4433.9721275', 'age_gps_data': '0.28', 'lon_direction': 'W', 'antenna_altitude': '51.193', 'easting': 2279713.4538823, 'geo_sep': '', 'northing': 103740.39861652441, 'lat_direction': 'N', 'lond': 123.27369461833334, 'longitude': '12316.4216771', 'latd': 44.566202125, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '07', 'horizontal_dil': '1.8', 'altitude_units': 'M'}
1{'timestamp': '195844.00', 'gps_qual': '2', 'latitude': '4433.9721275', 'age_gps_data': '0.28', 'lon_direction': 'W', 'antenna_altitude': '51.193', 'easting': 2279713.4538823, 'geo_sep': '', 'northing': 103740.39861652441, 'lat_direction': 'N', 'lond': 123.27369461833334, 'longitude': '12316.4216771', 'latd': 44.566202125, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '07', 'horizontal_dil': '1.8', 'altitude_units': 'M'}
2{'timestamp': '195850.00', 'gps_qual': '1', 'latitude': '4433.9740569', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '57.298', 'easting': 2279711.4817297957, 'geo_sep': '', 'northing': 103744.04163226299, 'lat_direction': 'N', 'lond': 123.273721005, 'longitude': '12316.4232603', 'latd': 44.56623428166667, 'geo_sep_units': '', 'ref_station_id': '*0B\r\n', 'num_sats': '13', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '195850.00', 'gps_qual': '1', 'latitude': '4433.9751723', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '58.204', 'easting': 2279711.692623516, 'geo_sep': '', 'northing': 103746.10128481872, 'lat_direction': 'N', 'lond': 123.27371924166667, 'longitude': '12316.4231545', 'latd': 44.56625287166667, 'geo_sep_units': '', 'ref_station_id': '*00\r\n', 'num_sats': '13', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '195845.00', 'gps_qual': '2', 'latitude': '4433.9721159', 'age_gps_data': '0.57', 'lon_direction': 'W', 'antenna_altitude': '51.263', 'easting': 2279713.4773584562, 'geo_sep': '', 'northing': 103740.37631481048, 'lat_direction': 'N', 'lond': 123.27369431333334, 'longitude': '12316.4216588', 'latd': 44.56620193166667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '195851.00', 'gps_qual': '1', 'latitude': '4433.9728613', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '53.460', 'easting': 2279712.6938076913, 'geo_sep': '', 'northing': 103741.78449214902, 'lat_direction': 'N', 'lond': 123.27370478, 'longitude': '12316.4222868', 'latd': 44.566214355, 'geo_sep_units': '', 'ref_station_id': '*0A\r\n', 'num_sats': '14', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '195851.00', 'gps_qual': '1', 'latitude': '4433.9728613', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '53.460', 'easting': 2279712.6938076913, 'geo_sep': '', 'northing': 103741.78449214902, 'lat_direction': 'N', 'lond': 123.27370478, 'longitude': '12316.4222868', 'latd': 44.566214355, 'geo_sep_units': '', 'ref_station_id': '*0A\r\n', 'num_sats': '14', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '195846.00', 'gps_qual': '2', 'latitude': '4433.9721072', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '51.370', 'easting': 2279713.5126626347, 'geo_sep': '', 'northing': 103740.35898071434, 'lat_direction': 'N', 'lond': 123.27369386166667, 'longitude': '12316.4216317', 'latd': 44.56620178666667, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '195852.00', 'gps_qual': '1', 'latitude': '4433.9736094', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '56.754', 'easting': 2279711.439389551, 'geo_sep': '', 'northing': 103743.21384504065, 'lat_direction': 'N', 'lond': 123.27372118, 'longitude': '12316.4232708', 'latd': 44.56622682333333, 'geo_sep_units': '', 'ref_station_id': '*00\r\n', 'num_sats': '12', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '195847.00', 'gps_qual': '2', 'latitude': '4433.9720925', 'age_gps_data': '0.35', 'lon_direction': 'W', 'antenna_altitude': '51.432', 'easting': 2279713.543483654, 'geo_sep': '', 'northing': 103740.33068227302, 'lat_direction': 'N', 'lond': 123.27369346166667, 'longitude': '12316.4216077', 'latd': 44.566201541666665, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
