3{'timestamp': '195715.00', 'gps_qual': '1', 'latitude': '4433.9739502', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '56.920', 'easting': 2279711.710731252, 'geo_sep': '', 'northing': 103743.83604627289, 'lat_direction': 'N', 'lond': 123.273718035, 'longitude': '12316.4230821', 'latd': 44.56623250333333, 'geo_sep_units': '', 'ref_station_id': '*0E\r\n', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '195715.00', 'gps_qual': '1', 'latitude': '4433.9739502', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '56.920', 'easting': 2279711.710731252, 'geo_sep': '', 'northing': 103743.83604627289, 'lat_direction': 'N', 'lond': 123.273718035, 'longitude': '12316.4230821', 'latd': 44.56623250333333, 'geo_sep_units': '', 'ref_station_id': '*0E\r\n', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '195715.00', 'gps_qual': '1', 'latitude': '4433.9739502', 'age_gps_data': '', 'lon_direction': 'W', 'antenna_altitude': '56.920', 'easting': 2279711.710731252, 'geo_sep': '', 'northing': 103743.83604627289, 'lat_direction': 'N', 'lond': 123.273718035, 'longitude': '12316.4230821', 'latd': 44.56623250333333, 'geo_sep_units': '', 'ref_station_id': '*0E\r\n', 'num_sats': '10', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '195710.00', 'gps_qual': '2', 'latitude': '4433.9727706', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '53.220', 'easting': 2279712.9017298548, 'geo_sep': '', 'northing': 103741.60927903838, 'lat_direction': 'N', 'lond': 123.27370208833334, 'longitude': '12316.4221253', 'latd': 44.56621284333333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
1{'timestamp': '195710.00', 'gps_qual': '2', 'latitude': '4433.9727706', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '53.220', 'easting': 2279712.9017298548, 'geo_sep': '', 'northing': 103741.60927903838, 'lat_direction': 'N', 'lond': 123.27370208833334, 'longitude': '12316.4221253', 'latd': 44.56621284333333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
2{'timestamp': '195716.00', 'gps_qual': '2', 'latitude': '4433.9722929', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '54.646', 'easting': 2279713.269100375, 'geo_sep': '', 'northing': 103740.71145795006, 'lat_direction': 'N', 'lond': 123.27369707833333, 'longitude': '12316.4218247', 'latd': 44.566204881666664, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
3{'timestamp': '195711.00', 'gps_qual': '2', 'latitude': '4433.9727457', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '53.198', 'easting': 2279712.895648299, 'geo_sep': '', 'northing': 103741.56334688142, 'lat_direction': 'N', 'lond': 123.273702145, 'longitude': '12316.4221287', 'latd': 44.56621242833333, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
1{'timestamp': '195711.00', 'gps_qual': '2', 'latitude': '4433.9727457', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '53.198', 'easting': 2279712.895648299, 'geo_sep': '', 'northing': 103741.56334688142, 'lat_direction': 'N', 'lond': 123.273702145, 'longitude': '12316.4221287', 'latd': 44.56621242833333, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
2{'timestamp': '195717.00', 'gps_qual': '2', 'latitude': '4433.9721809', 'age_gps_data': '0.39', 'lon_direction': 'W', 'antenna_altitude': '55.035', 'easting': 2279713.665804494, 'geo_sep': '', 'northing': 103740.49029105809, 'lat_direction': 'N', 'lond': 123.27369199166667, 'longitude': '12316.4215195', 'latd': 44.566203015, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
3{'timestamp': '195718.00', 'gps_qual': '2', 'latitude': '4433.9735047', 'age_gps_data': '0.35', 'lon_direction': 'W', 'antenna_altitude': '52.883', 'easting': 2279711.8761195242, 'geo_sep': '', 'northing': 103743.00483061187, 'lat_direction': 'N', 'lond': 123.273715595, 'longitude': '12316.4229357', 'latd': 44.56622507833333, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
1{'timestamp': '195718.00', 'gps_qual': '2', 'latitude': '4433.9721762', 'age_gps_data': '0.62', 'lon_direction': 'W', 'antenna_altitude': '55.092', 'easting': 2279713.6808542036, 'geo_sep': '', 'northing': 103740.4810648216, 'lat_direction': 'N', 'lond': 123.27369179833333, 'longitude': '12316.4215079', 'latd': 44.56620293666667, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '06', 'horizontal_dil': '1.6', 'altitude_units': 'M'}
