2{'timestamp': '194148.00', 'gps_qual': '4', 'latitude': '4433.9464292', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '50.025', 'easting': 2279694.2425643643, 'geo_sep': '', 'northing': 103693.43813525885, 'lat_direction': 'N', 'lond': 123.27391603, 'longitude': '12316.4349618', 'latd': 44.56577382, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
3{'timestamp': '194148.00', 'gps_qual': '4', 'latitude': '4433.9464292', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '50.025', 'easting': 2279694.2425643643, 'geo_sep': '', 'northing': 103693.43813525885, 'lat_direction': 'N', 'lond': 123.27391603, 'longitude': '12316.4349618', 'latd': 44.56577382, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
1{'timestamp': '194148.00', 'gps_qual': '4', 'latitude': '4433.9458973', 'age_gps_data': '0.14', 'lon_direction': 'W', 'antenna_altitude': '49.962', 'easting': 2279694.293960682, 'geo_sep': '', 'northing': 103692.45073067956, 'lat_direction': 'N', 'lond': 123.27391495666667, 'longitude': '12316.4348974', 'latd': 44.565764955, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '194149.00', 'gps_qual': '4', 'latitude': '4433.9461557', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '49.952', 'easting': 2279694.2591820327, 'geo_sep': '', 'northing': 103692.93075431138, 'lat_direction': 'N', 'lond': 123.27391560166667, 'longitude': '12316.4349361', 'latd': 44.56576926166667, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '194149.00', 'gps_qual': '4', 'latitude': '4433.9464275', 'age_gps_data': '0.25', 'lon_direction': 'W', 'antenna_altitude': '50.038', 'easting': 2279694.2447056514, 'geo_sep': '', 'northing': 103693.43491151743, 'lat_direction': 'N', 'lond': 123.27391600166666, 'longitude': '12316.4349601', 'latd': 44.565773791666665, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
1{'timestamp': '194149.00', 'gps_qual': '4', 'latitude': '4433.9458957', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '49.970', 'easting': 2279694.293329702, 'geo_sep': '', 'northing': 103692.44778746739, 'lat_direction': 'N', 'lond': 123.27391496333334, 'longitude': '12316.4348978', 'latd': 44.56576492833333, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '194150.00', 'gps_qual': '4', 'latitude': '4433.9464297', 'age_gps_data': '0.68', 'lon_direction': 'W', 'antenna_altitude': '50.033', 'easting': 2279694.242066889, 'geo_sep': '', 'northing': 103693.43907887209, 'lat_direction': 'N', 'lond': 123.27391603666666, 'longitude': '12316.4349622', 'latd': 44.565773828333334, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
2{'timestamp': '194150.00', 'gps_qual': '4', 'latitude': '4433.9464297', 'age_gps_data': '0.68', 'lon_direction': 'W', 'antenna_altitude': '50.033', 'easting': 2279694.242066889, 'geo_sep': '', 'northing': 103693.43907887209, 'lat_direction': 'N', 'lond': 123.27391603666666, 'longitude': '12316.4349622', 'latd': 44.565773828333334, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
1{'timestamp': '194150.00', 'gps_qual': '4', 'latitude': '4433.9458968', 'age_gps_data': '0.20', 'lon_direction': 'W', 'antenna_altitude': '49.972', 'easting': 2279694.291282586, 'geo_sep': '', 'northing': 103692.44989614096, 'lat_direction': 'N', 'lond': 123.27391499, 'longitude': '12316.4348994', 'latd': 44.56576494666667, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '194151.00', 'gps_qual': '4', 'latitude': '4433.9461557', 'age_gps_data': '0.27', 'lon_direction': 'W', 'antenna_altitude': '49.948', 'easting': 2279694.2619606564, 'geo_sep': '', 'northing': 103692.93065887131, 'lat_direction': 'N', 'lond': 123.27391556666667, 'longitude': '12316.4349340', 'latd': 44.56576926166667, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '194151.00', 'gps_qual': '4', 'latitude': '4433.9464277', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '50.040', 'easting': 2279694.2478939374, 'geo_sep': '', 'northing': 103693.43517261837, 'lat_direction': 'N', 'lond': 123.27391596166666, 'longitude': '12316.4349577', 'latd': 44.565773795, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '05', 'horizontal_dil': '1.7', 'altitude_units': 'M'}
