2{'timestamp': '194301.00', 'gps_qual': '4', 'latitude': '4433.9464253', 'age_gps_data': '0.32', 'lon_direction': 'W', 'antenna_altitude': '49.967', 'easting': 2279694.2432426345, 'geo_sep': '', 'northing': 103693.43088505324, 'lat_direction': 'N', 'lond': 123.27391601833334, 'longitude': '12316.4349611', 'latd': 44.565773755, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '194301.00', 'gps_qual': '4', 'latitude': '4433.9464253', 'age_gps_data': '0.32', 'lon_direction': 'W', 'antenna_altitude': '49.967', 'easting': 2279694.2432426345, 'geo_sep': '', 'northing': 103693.43088505324, 'lat_direction': 'N', 'lond': 123.27391601833334, 'longitude': '12316.4349611', 'latd': 44.565773755, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '194301.00', 'gps_qual': '4', 'latitude': '4433.9458930', 'age_gps_data': '0.59', 'lon_direction': 'W', 'antenna_altitude': '50.014', 'easting': 2279694.3020231915, 'geo_sep': '', 'northing': 103692.4424856184, 'lat_direction': 'N', 'lond': 123.27391485166666, 'longitude': '12316.4348911', 'latd': 44.56576488333333, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '194302.00', 'gps_qual': '4', 'latitude': '4433.9461685', 'age_gps_data': '0.25', 'lon_direction': 'W', 'antenna_altitude': '49.964', 'easting': 2279694.2644945015, 'geo_sep': '', 'northing': 103692.9542909246, 'lat_direction': 'N', 'lond': 123.273915545, 'longitude': '12316.4349327', 'latd': 44.565769475, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '194302.00', 'gps_qual': '4', 'latitude': '4433.9464231', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '49.970', 'easting': 2279694.242441195, 'geo_sep': '', 'northing': 103693.42683586292, 'lat_direction': 'N', 'lond': 123.27391602666667, 'longitude': '12316.4349616', 'latd': 44.56577371833333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '194302.00', 'gps_qual': '4', 'latitude': '4433.9458924', 'age_gps_data': '0.30', 'lon_direction': 'W', 'antenna_altitude': '50.008', 'easting': 2279694.3006618917, 'geo_sep': '', 'northing': 103692.44142054394, 'lat_direction': 'N', 'lond': 123.27391486833334, 'longitude': '12316.4348921', 'latd': 44.565764873333336, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
2{'timestamp': '194303.00', 'gps_qual': '4', 'latitude': '4433.9461686', 'age_gps_data': '0.66', 'lon_direction': 'W', 'antenna_altitude': '49.961', 'easting': 2279694.26423623, 'geo_sep': '', 'northing': 103692.9544851007, 'lat_direction': 'N', 'lond': 123.27391554833333, 'longitude': '12316.4349329', 'latd': 44.56576947666667, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '194303.00', 'gps_qual': '4', 'latitude': '4433.9464233', 'age_gps_data': '0.56', 'lon_direction': 'W', 'antenna_altitude': '49.968', 'easting': 2279694.243777065, 'geo_sep': '', 'northing': 103693.42716058902, 'lat_direction': 'N', 'lond': 123.27391601, 'longitude': '12316.4349606', 'latd': 44.565773721666666, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '194303.00', 'gps_qual': '4', 'latitude': '4433.9458928', 'age_gps_data': '0.65', 'lon_direction': 'W', 'antenna_altitude': '50.004', 'easting': 2279694.299761113, 'geo_sep': '', 'northing': 103692.44219270628, 'lat_direction': 'N', 'lond': 123.27391488, 'longitude': '12316.4348928', 'latd': 44.56576488, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '194304.00', 'gps_qual': '4', 'latitude': '4433.9464249', 'age_gps_data': '0.29', 'lon_direction': 'W', 'antenna_altitude': '49.965', 'easting': 2279694.2418940505, 'geo_sep': '', 'northing': 103693.43019015156, 'lat_direction': 'N', 'lond': 123.273916035, 'longitude': '12316.4349621', 'latd': 44.565773748333335, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '194304.00', 'gps_qual': '4', 'latitude': '4433.9464249', 'age_gps_data': '0.29', 'lon_direction': 'W', 'antenna_altitude': '49.965', 'easting': 2279694.2418940505, 'geo_sep': '', 'northing': 103693.43019015156, 'lat_direction': 'N', 'lond': 123.273916035, 'longitude': '12316.4349621', 'latd': 44.565773748333335, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
