{'timestamp': '194427.00', 'gps_qual': '4', 'latitude': '4433.9464258', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '49.981', 'easting': 2279694.2324245553, 'geo_sep': '', 'northing': 103693.43218315858, 'lat_direction': 'N', 'lond': 123.273916155, 'longitude': '12316.4349693', 'latd': 44.56577376333333, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194428.00', 'gps_qual': '4', 'latitude': '4433.9464261', 'age_gps_data': '0.35', 'lon_direction': 'W', 'antenna_altitude': '49.987', 'easting': 2279694.2349576196, 'geo_sep': '', 'northing': 103693.4326520674, 'lat_direction': 'N', 'lond': 123.27391612333334, 'longitude': '12316.4349674', 'latd': 44.56577376833334, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194429.00', 'gps_qual': '4', 'latitude': '4433.9464263', 'age_gps_data': '0.07', 'lon_direction': 'W', 'antenna_altitude': '49.987', 'easting': 2279694.2345733866, 'geo_sep': '', 'northing': 103693.43303587846, 'lat_direction': 'N', 'lond': 123.27391612833334, 'longitude': '12316.4349677', 'latd': 44.56577377166667, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194430.00', 'gps_qual': '4', 'latitude': '4433.9464249', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '49.985', 'easting': 2279694.236469118, 'geo_sep': '', 'northing': 103693.43037648778, 'lat_direction': 'N', 'lond': 123.27391610333333, 'longitude': '12316.4349662', 'latd': 44.565773748333335, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194431.00', 'gps_qual': '4', 'latitude': '4433.9464247', 'age_gps_data': '0.20', 'lon_direction': 'W', 'antenna_altitude': '49.986', 'easting': 2279694.2373826103, 'geo_sep': '', 'northing': 103693.42997450102, 'lat_direction': 'N', 'lond': 123.27391609166666, 'longitude': '12316.4349655', 'latd': 44.565773745, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194432.00', 'gps_qual': '4', 'latitude': '4433.9464249', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '49.988', 'easting': 2279694.2380569023, 'geo_sep': '', 'northing': 103693.43032195047, 'lat_direction': 'N', 'lond': 123.27391608333333, 'longitude': '12316.4349650', 'latd': 44.565773748333335, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194433.00', 'gps_qual': '4', 'latitude': '4433.9458957', 'age_gps_data': '0.55', 'lon_direction': 'W', 'antenna_altitude': '49.943', 'easting': 2279694.288566345, 'geo_sep': '', 'northing': 103692.44795107935, 'lat_direction': 'N', 'lond': 123.27391502333333, 'longitude': '12316.4349014', 'latd': 44.56576492833333, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
{'timestamp': '194434.00', 'gps_qual': '4', 'latitude': '4433.9464267', 'age_gps_data': '0.06', 'lon_direction': 'W', 'antenna_altitude': '49.987', 'easting': 2279694.239229859, 'geo_sep': '', 'northing': 103693.43361715693, 'lat_direction': 'N', 'lond': 123.27391607, 'longitude': '12316.4349642', 'latd': 44.56577377833333, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194435.00', 'gps_qual': '4', 'latitude': '4433.9464273', 'age_gps_data': '1.06', 'lon_direction': 'W', 'antenna_altitude': '49.985', 'easting': 2279694.236224747, 'geo_sep': '', 'northing': 103693.43483220972, 'lat_direction': 'N', 'lond': 123.27391610833334, 'longitude': '12316.4349665', 'latd': 44.56577378833333, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
{'timestamp': '194436.00', 'gps_qual': '4', 'latitude': '4433.9459040', 'age_gps_data': '0.27', 'lon_direction': 'W', 'antenna_altitude': '49.964', 'easting': 2279694.2783764545, 'geo_sep': '', 'northing': 103692.4636814259, 'lat_direction': 'N', 'lond': 123.27391515833334, 'longitude': '12316.4349095', 'latd': 44.565765066666664, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
{'timestamp': '194437.00', 'gps_qual': '4', 'latitude': '4433.9464263', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '49.982', 'easting': 2279694.237352013, 'geo_sep': '', 'northing': 103693.43294043839, 'lat_direction': 'N', 'lond': 123.27391609333333, 'longitude': '12316.4349656', 'latd': 44.56577377166667, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.0', 'altitude_units': 'M'}
