3{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099827', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.817990685, 'geo_sep': '', 'northing': 103622.9277399052, 'lat_direction': 'N', 'lond': 123.27279633833334, 'longitude': '12316.3677803', 'latd': 44.56516637833333, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099827', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.817990685, 'geo_sep': '', 'northing': 103622.9277399052, 'lat_direction': 'N', 'lond': 123.27279633833334, 'longitude': '12316.3677803', 'latd': 44.56516637833333, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099827', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.817990685, 'geo_sep': '', 'northing': 103622.9277399052, 'lat_direction': 'N', 'lond': 123.27279633833334, 'longitude': '12316.3677803', 'latd': 44.56516637833333, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192221.00', 'gps_qual': '4', 'latitude': '4433.9099098', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279781.296976356, 'geo_sep': '', 'northing': 103622.77620682213, 'lat_direction': 'N', 'lond': 123.27279024666667, 'longitude': '12316.3674148', 'latd': 44.56516516333333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192221.00', 'gps_qual': '4', 'latitude': '4433.9099098', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279781.296976356, 'geo_sep': '', 'northing': 103622.77620682213, 'lat_direction': 'N', 'lond': 123.27279024666667, 'longitude': '12316.3674148', 'latd': 44.56516516333333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192221.00', 'gps_qual': '4', 'latitude': '4433.9099098', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279781.296976356, 'geo_sep': '', 'northing': 103622.77620682213, 'lat_direction': 'N', 'lond': 123.27279024666667, 'longitude': '12316.3674148', 'latd': 44.56516516333333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192221.00', 'gps_qual': '4', 'latitude': '4433.9099098', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279781.296976356, 'geo_sep': '', 'northing': 103622.77620682213, 'lat_direction': 'N', 'lond': 123.27279024666667, 'longitude': '12316.3674148', 'latd': 44.56516516333333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192226.00', 'gps_qual': '4', 'latitude': '4433.9099836', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.8150045895, 'geo_sep': '', 'northing': 103622.92951017711, 'lat_direction': 'N', 'lond': 123.27279637666666, 'longitude': '12316.3677826', 'latd': 44.565166393333335, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192222.00', 'gps_qual': '4', 'latitude': '4433.9099106', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.656', 'easting': 2279781.2929253704, 'geo_sep': '', 'northing': 103622.77782835066, 'lat_direction': 'N', 'lond': 123.27279029833333, 'longitude': '12316.3674179', 'latd': 44.56516517666667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192222.00', 'gps_qual': '4', 'latitude': '4433.9099106', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.656', 'easting': 2279781.2929253704, 'geo_sep': '', 'northing': 103622.77782835066, 'lat_direction': 'N', 'lond': 123.27279029833333, 'longitude': '12316.3674179', 'latd': 44.56516517666667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192227.00', 'gps_qual': '4', 'latitude': '4433.9099834', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.655', 'easting': 2279780.8161827307, 'geo_sep': '', 'northing': 103622.9290991174, 'lat_direction': 'N', 'lond': 123.27279636166666, 'longitude': '12316.3677817', 'latd': 44.56516639, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192223.00', 'gps_qual': '4', 'latitude': '4433.9099097', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279781.294191346, 'geo_sep': '', 'northing': 103622.77611713763, 'lat_direction': 'N', 'lond': 123.27279028166667, 'longitude': '12316.3674169', 'latd': 44.56516516166667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192223.00', 'gps_qual': '4', 'latitude': '4433.9099097', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279781.294191346, 'geo_sep': '', 'northing': 103622.77611713763, 'lat_direction': 'N', 'lond': 123.27279028166667, 'longitude': '12316.3674169', 'latd': 44.56516516166667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099105', 'age_gps_data': '0.44', 'lon_direction': 'W', 'antenna_altitude': '47.646', 'easting': 2279781.29318365, 'geo_sep': '', 'northing': 103622.77763417643, 'lat_direction': 'N', 'lond': 123.272790295, 'longitude': '12316.3674177', 'latd': 44.565165175, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099105', 'age_gps_data': '0.44', 'lon_direction': 'W', 'antenna_altitude': '47.646', 'easting': 2279781.29318365, 'geo_sep': '', 'northing': 103622.77763417643, 'lat_direction': 'N', 'lond': 123.272790295, 'longitude': '12316.3674177', 'latd': 44.565165175, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192224.00', 'gps_qual': '4', 'latitude': '4433.9099105', 'age_gps_data': '0.44', 'lon_direction': 'W', 'antenna_altitude': '47.646', 'easting': 2279781.29318365, 'geo_sep': '', 'northing': 103622.77763417643, 'lat_direction': 'N', 'lond': 123.272790295, 'longitude': '12316.3674177', 'latd': 44.565165175, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192229.00', 'gps_qual': '4', 'latitude': '4433.9099840', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279780.817544028, 'geo_sep': '', 'northing': 103622.9301642105, 'lat_direction': 'N', 'lond': 123.272796345, 'longitude': '12316.3677807', 'latd': 44.5651664, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192225.00', 'gps_qual': '4', 'latitude': '4433.9099103', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.647', 'easting': 2279781.294097158, 'geo_sep': '', 'northing': 103622.7772322027, 'lat_direction': 'N', 'lond': 123.27279028333334, 'longitude': '12316.3674170', 'latd': 44.56516517166666, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192225.00', 'gps_qual': '4', 'latitude': '4433.9099103', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.647', 'easting': 2279781.294097158, 'geo_sep': '', 'northing': 103622.7772322027, 'lat_direction': 'N', 'lond': 123.27279028333334, 'longitude': '12316.3674170', 'latd': 44.56516517166666, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192230.00', 'gps_qual': '4', 'latitude': '4433.9099850', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.652', 'easting': 2279780.8168136757, 'geo_sep': '', 'northing': 103622.93204233982, 'lat_direction': 'N', 'lond': 123.272796355, 'longitude': '12316.3677813', 'latd': 44.56516641666666, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192226.00', 'gps_qual': '4', 'latitude': '4433.9099123', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '47.647', 'easting': 2279781.289990112, 'geo_sep': '', 'northing': 103622.78107932024, 'lat_direction': 'N', 'lond': 123.27279033666667, 'longitude': '12316.3674202', 'latd': 44.565165205, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192226.00', 'gps_qual': '4', 'latitude': '4433.9099123', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '47.647', 'easting': 2279781.289990112, 'geo_sep': '', 'northing': 103622.78107932024, 'lat_direction': 'N', 'lond': 123.27279033666667, 'longitude': '12316.3674202', 'latd': 44.565165205, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192231.00', 'gps_qual': '4', 'latitude': '4433.9100564', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279780.34090831, 'geo_sep': '', 'northing': 103623.08069012128, 'lat_direction': 'N', 'lond': 123.27280240666667, 'longitude': '12316.3681444', 'latd': 44.56516760666667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192231.00', 'gps_qual': '4', 'latitude': '4433.9100564', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279780.34090831, 'geo_sep': '', 'northing': 103623.08069012128, 'lat_direction': 'N', 'lond': 123.27280240666667, 'longitude': '12316.3681444', 'latd': 44.56516760666667, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192227.00', 'gps_qual': '4', 'latitude': '4433.9099113', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.646', 'easting': 2279781.2912497353, 'geo_sep': '', 'northing': 103622.77918301895, 'lat_direction': 'N', 'lond': 123.27279032, 'longitude': '12316.3674192', 'latd': 44.56516518833333, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
2{'timestamp': '192232.00', 'gps_qual': '4', 'latitude': '4433.9099825', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.814802369, 'geo_sep': '', 'northing': 103622.92747876234, 'lat_direction': 'N', 'lond': 123.27279637833334, 'longitude': '12316.3677827', 'latd': 44.565166375, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192232.00', 'gps_qual': '4', 'latitude': '4433.9100552', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.650', 'easting': 2279780.340964369, 'geo_sep': '', 'northing': 103623.07846453227, 'lat_direction': 'N', 'lond': 123.272802405, 'longitude': '12316.3681443', 'latd': 44.56516758666667, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192228.00', 'gps_qual': '4', 'latitude': '4433.9099091', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '47.645', 'easting': 2279781.293756267, 'geo_sep': '', 'northing': 103622.77502024453, 'lat_direction': 'N', 'lond': 123.27279028666666, 'longitude': '12316.3674172', 'latd': 44.56516515166667, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '192233.00', 'gps_qual': '4', 'latitude': '4433.9099829', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '47.653', 'easting': 2279780.818003394, 'geo_sep': '', 'northing': 103622.92811007984, 'lat_direction': 'N', 'lond': 123.27279633833334, 'longitude': '12316.3677803', 'latd': 44.565166381666664, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192233.00', 'gps_qual': '4', 'latitude': '4433.9100571', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279780.342540597, 'geo_sep': '', 'northing': 103623.08193121478, 'lat_direction': 'N', 'lond': 123.27280238666667, 'longitude': '12316.3681432', 'latd': 44.565167618333334, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192229.00', 'gps_qual': '4', 'latitude': '4433.9099103', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '47.643', 'easting': 2279781.2938325247, 'geo_sep': '', 'northing': 103622.77724128868, 'lat_direction': 'N', 'lond': 123.27279028666666, 'longitude': '12316.3674172', 'latd': 44.56516517166666, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '192234.00', 'gps_qual': '4', 'latitude': '4433.9099831', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.650', 'easting': 2279780.818677688, 'geo_sep': '', 'northing': 103622.92845753767, 'lat_direction': 'N', 'lond': 123.27279633, 'longitude': '12316.3677798', 'latd': 44.565166385, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192234.00', 'gps_qual': '4', 'latitude': '4433.9100555', 'age_gps_data': '0.45', 'lon_direction': 'W', 'antenna_altitude': '47.651', 'easting': 2279780.3408511165, 'geo_sep': '', 'northing': 103623.0790243363, 'lat_direction': 'N', 'lond': 123.27280240666667, 'longitude': '12316.3681444', 'latd': 44.565167591666665, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192230.00', 'gps_qual': '4', 'latitude': '4433.9099102', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '47.645', 'easting': 2279781.292238367, 'geo_sep': '', 'northing': 103622.77711071726, 'lat_direction': 'N', 'lond': 123.27279030666666, 'longitude': '12316.3674184', 'latd': 44.56516517, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '192235.00', 'gps_qual': '4', 'latitude': '4433.9100548', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.656', 'easting': 2279780.3405420007, 'geo_sep': '', 'northing': 103623.07773781195, 'lat_direction': 'N', 'lond': 123.27280241, 'longitude': '12316.3681446', 'latd': 44.56516758, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192235.00', 'gps_qual': '4', 'latitude': '4433.9100548', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.656', 'easting': 2279780.3405420007, 'geo_sep': '', 'northing': 103623.07773781195, 'lat_direction': 'N', 'lond': 123.27280241, 'longitude': '12316.3681446', 'latd': 44.56516758, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192231.00', 'gps_qual': '4', 'latitude': '4433.9099089', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.652', 'easting': 2279781.2916264855, 'geo_sep': '', 'northing': 103622.77472275589, 'lat_direction': 'N', 'lond': 123.27279031333333, 'longitude': '12316.3674188', 'latd': 44.565165148333335, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '192236.00', 'gps_qual': '4', 'latitude': '4433.9099824', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.650', 'easting': 2279780.8203533255, 'geo_sep': '', 'northing': 103622.92710286938, 'lat_direction': 'N', 'lond': 123.27279630833333, 'longitude': '12316.3677785', 'latd': 44.565166373333334, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192236.00', 'gps_qual': '4', 'latitude': '4433.9100545', 'age_gps_data': '0.52', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279780.3407875686, 'geo_sep': '', 'northing': 103623.07717346586, 'lat_direction': 'N', 'lond': 123.27280240666667, 'longitude': '12316.3681444', 'latd': 44.565167575, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
1{'timestamp': '192232.00', 'gps_qual': '4', 'latitude': '4433.9099086', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '47.649', 'easting': 2279781.2892257185, 'geo_sep': '', 'northing': 103622.7742492687, 'lat_direction': 'N', 'lond': 123.27279034333333, 'longitude': '12316.3674206', 'latd': 44.56516514333333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '10', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '192237.00', 'gps_qual': '4', 'latitude': '4433.9099823', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.654', 'easting': 2279780.8203469706, 'geo_sep': '', 'northing': 103622.92691778392, 'lat_direction': 'N', 'lond': 123.27279630833333, 'longitude': '12316.3677785', 'latd': 44.56516637166666, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
3{'timestamp': '192237.00', 'gps_qual': '4', 'latitude': '4433.9100548', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.659', 'easting': 2279780.341600534, 'geo_sep': '', 'northing': 103623.07770146895, 'lat_direction': 'N', 'lond': 123.27280239666666, 'longitude': '12316.3681438', 'latd': 44.56516758, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '11', 'horizontal_dil': '0.7', 'altitude_units': 'M'}
