1{'timestamp': '190655.00', 'gps_qual': '4', 'latitude': '4433.9142789', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.359', 'easting': 2279876.6378800813, 'geo_sep': '', 'northing': 103627.59964487609, 'lat_direction': 'N', 'lond': 123.27159282666666, 'longitude': '12316.2955696', 'latd': 44.56523798166667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190655.00', 'gps_qual': '4', 'latitude': '4433.9142789', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.359', 'easting': 2279876.6378800813, 'geo_sep': '', 'northing': 103627.59964487609, 'lat_direction': 'N', 'lond': 123.27159282666666, 'longitude': '12316.2955696', 'latd': 44.56523798166667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190656.00', 'gps_qual': '4', 'latitude': '4433.9142759', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6392773227, 'geo_sep': '', 'northing': 103627.5940377675, 'lat_direction': 'N', 'lond': 123.27159280666666, 'longitude': '12316.2955684', 'latd': 44.565237931666665, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190656.00', 'gps_qual': '4', 'latitude': '4433.9142759', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6392773227, 'geo_sep': '', 'northing': 103627.5940377675, 'lat_direction': 'N', 'lond': 123.27159280666666, 'longitude': '12316.2955684', 'latd': 44.565237931666665, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190656.00', 'gps_qual': '4', 'latitude': '4433.9142759', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6392773227, 'geo_sep': '', 'northing': 103627.5940377675, 'lat_direction': 'N', 'lond': 123.27159280666666, 'longitude': '12316.2955684', 'latd': 44.565237931666665, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190657.00', 'gps_qual': '4', 'latitude': '4433.9142785', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6386485733, 'geo_sep': '', 'northing': 103627.59887728002, 'lat_direction': 'N', 'lond': 123.27159281666667, 'longitude': '12316.2955690', 'latd': 44.565237975, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190657.00', 'gps_qual': '4', 'latitude': '4433.9142785', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6386485733, 'geo_sep': '', 'northing': 103627.59887728002, 'lat_direction': 'N', 'lond': 123.27159281666667, 'longitude': '12316.2955690', 'latd': 44.565237975, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190657.00', 'gps_qual': '4', 'latitude': '4433.9142785', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.360', 'easting': 2279876.6386485733, 'geo_sep': '', 'northing': 103627.59887728002, 'lat_direction': 'N', 'lond': 123.27159281666667, 'longitude': '12316.2955690', 'latd': 44.565237975, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190658.00', 'gps_qual': '4', 'latitude': '4433.9142791', 'age_gps_data': '0.37', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.6378927855, 'geo_sep': '', 'northing': 103627.6000150498, 'lat_direction': 'N', 'lond': 123.27159282666666, 'longitude': '12316.2955696', 'latd': 44.565237985, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190658.00', 'gps_qual': '4', 'latitude': '4433.9142791', 'age_gps_data': '0.37', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.6378927855, 'geo_sep': '', 'northing': 103627.6000150498, 'lat_direction': 'N', 'lond': 123.27159282666666, 'longitude': '12316.2955696', 'latd': 44.565237985, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190658.00', 'gps_qual': '4', 'latitude': '4433.9142791', 'age_gps_data': '0.37', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.6378927855, 'geo_sep': '', 'northing': 103627.6000150498, 'lat_direction': 'N', 'lond': 123.27159282666666, 'longitude': '12316.2955696', 'latd': 44.565237985, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190659.00', 'gps_qual': '4', 'latitude': '4433.9142787', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.639587497, 'geo_sep': '', 'northing': 103627.59921566956, 'lat_direction': 'N', 'lond': 123.271592805, 'longitude': '12316.2955683', 'latd': 44.565237978333336, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190659.00', 'gps_qual': '4', 'latitude': '4433.9142787', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.639587497, 'geo_sep': '', 'northing': 103627.59921566956, 'lat_direction': 'N', 'lond': 123.271592805, 'longitude': '12316.2955683', 'latd': 44.565237978333336, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190659.00', 'gps_qual': '4', 'latitude': '4433.9142787', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.365', 'easting': 2279876.639587497, 'geo_sep': '', 'northing': 103627.59921566956, 'lat_direction': 'N', 'lond': 123.271592805, 'longitude': '12316.2955683', 'latd': 44.565237978333336, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190700.00', 'gps_qual': '4', 'latitude': '4433.9142812', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.372', 'easting': 2279876.6408048314, 'geo_sep': '', 'northing': 103627.60380651988, 'lat_direction': 'N', 'lond': 123.27159279166666, 'longitude': '12316.2955675', 'latd': 44.56523802, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190700.00', 'gps_qual': '4', 'latitude': '4433.9142812', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.372', 'easting': 2279876.6408048314, 'geo_sep': '', 'northing': 103627.60380651988, 'lat_direction': 'N', 'lond': 123.27159279166666, 'longitude': '12316.2955675', 'latd': 44.56523802, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190700.00', 'gps_qual': '4', 'latitude': '4433.9142812', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.372', 'easting': 2279876.6408048314, 'geo_sep': '', 'northing': 103627.60380651988, 'lat_direction': 'N', 'lond': 123.27159279166666, 'longitude': '12316.2955675', 'latd': 44.56523802, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190702.00', 'gps_qual': '4', 'latitude': '4433.9142799', 'age_gps_data': '0.70', 'lon_direction': 'W', 'antenna_altitude': '47.373', 'easting': 2279876.6423100578, 'geo_sep': '', 'northing': 103627.60134589486, 'lat_direction': 'N', 'lond': 123.27159277166666, 'longitude': '12316.2955663', 'latd': 44.56523799833333, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
