1{'timestamp': '190821.00', 'gps_qual': '4', 'latitude': '4433.9142716', 'age_gps_data': '0.39', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.637548698, 'geo_sep': '', 'northing': 103627.58612896968, 'lat_direction': 'N', 'lond': 123.271592825, 'longitude': '12316.2955695', 'latd': 44.56523786, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190821.00', 'gps_qual': '4', 'latitude': '4433.9142716', 'age_gps_data': '0.39', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.637548698, 'geo_sep': '', 'northing': 103627.58612896968, 'lat_direction': 'N', 'lond': 123.271592825, 'longitude': '12316.2955695', 'latd': 44.56523786, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190823.00', 'gps_qual': '4', 'latitude': '4433.9143633', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '47.376', 'easting': 2279876.169282389, 'geo_sep': '', 'northing': 103627.77212437056, 'lat_direction': 'N', 'lond': 123.27159879666667, 'longitude': '12316.2959278', 'latd': 44.56523938833333, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190822.00', 'gps_qual': '4', 'latitude': '4433.9142710', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.383', 'easting': 2279876.6355258343, 'geo_sep': '', 'northing': 103627.58508656267, 'lat_direction': 'N', 'lond': 123.27159285, 'longitude': '12316.2955710', 'latd': 44.56523785, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190822.00', 'gps_qual': '4', 'latitude': '4433.9142710', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.383', 'easting': 2279876.6355258343, 'geo_sep': '', 'northing': 103627.58508656267, 'lat_direction': 'N', 'lond': 123.27159285, 'longitude': '12316.2955710', 'latd': 44.56523785, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190824.00', 'gps_qual': '4', 'latitude': '4433.9143644', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.368', 'easting': 2279876.1671028747, 'geo_sep': '', 'northing': 103627.77423752565, 'lat_direction': 'N', 'lond': 123.271598825, 'longitude': '12316.2959295', 'latd': 44.56523940666666, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190814.00', 'gps_qual': '4', 'latitude': '4433.9141886', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '47.368', 'easting': 2279877.103985962, 'geo_sep': '', 'northing': 103627.41631792858, 'lat_direction': 'N', 'lond': 123.27158688333333, 'longitude': '12316.2952130', 'latd': 44.56523647666667, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190823.00', 'gps_qual': '4', 'latitude': '4433.9142739', 'age_gps_data': '0.40', 'lon_direction': 'W', 'antenna_altitude': '47.375', 'easting': 2279876.636900895, 'geo_sep': '', 'northing': 103627.59041322209, 'lat_direction': 'N', 'lond': 123.271592835, 'longitude': '12316.2955701', 'latd': 44.565237898333336, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
3{'timestamp': '190825.00', 'gps_qual': '4', 'latitude': '4433.9143653', 'age_gps_data': '0.52', 'lon_direction': 'W', 'antenna_altitude': '47.361', 'easting': 2279876.1695417464, 'geo_sep': '', 'northing': 103627.77582157217, 'lat_direction': 'N', 'lond': 123.271598795, 'longitude': '12316.2959277', 'latd': 44.56523942166667, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190815.00', 'gps_qual': '4', 'latitude': '4433.9141875', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.369', 'easting': 2279877.105636207, 'geo_sep': '', 'northing': 103627.41422293521, 'lat_direction': 'N', 'lond': 123.27158686166666, 'longitude': '12316.2952117', 'latd': 44.56523645833333, 'geo_sep_units': '', 'ref_station_id': '0244*11\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190824.00', 'gps_qual': '4', 'latitude': '4433.9142706', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.6366912774, 'geo_sep': '', 'northing': 103627.58430534601, 'lat_direction': 'N', 'lond': 123.271592835, 'longitude': '12316.2955701', 'latd': 44.565237843333335, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
