3{'timestamp': '190945.00', 'gps_qual': '4', 'latitude': '4433.9142772', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.6383013646, 'geo_sep': '', 'northing': 103627.59648022894, 'lat_direction': 'N', 'lond': 123.27159282, 'longitude': '12316.2955692', 'latd': 44.56523795333333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '190945.00', 'gps_qual': '4', 'latitude': '4433.9142772', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.6383013646, 'geo_sep': '', 'northing': 103627.59648022894, 'lat_direction': 'N', 'lond': 123.27159282, 'longitude': '12316.2955692', 'latd': 44.56523795333333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '190945.00', 'gps_qual': '4', 'latitude': '4433.9142772', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.6383013646, 'geo_sep': '', 'northing': 103627.59648022894, 'lat_direction': 'N', 'lond': 123.27159282, 'longitude': '12316.2955692', 'latd': 44.56523795333333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190947.00', 'gps_qual': '4', 'latitude': '4433.9143628', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.392', 'easting': 2279876.173484766, 'geo_sep': '', 'northing': 103627.77105362248, 'lat_direction': 'N', 'lond': 123.27159874333333, 'longitude': '12316.2959246', 'latd': 44.56523938, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '190946.00', 'gps_qual': '4', 'latitude': '4433.9142767', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.386', 'easting': 2279876.638401921, 'geo_sep': '', 'northing': 103627.59555025306, 'lat_direction': 'N', 'lond': 123.27159281833333, 'longitude': '12316.2955691', 'latd': 44.565237945, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '190946.00', 'gps_qual': '4', 'latitude': '4433.9142767', 'age_gps_data': '0.47', 'lon_direction': 'W', 'antenna_altitude': '47.386', 'easting': 2279876.638401921, 'geo_sep': '', 'northing': 103627.59555025306, 'lat_direction': 'N', 'lond': 123.27159281833333, 'longitude': '12316.2955691', 'latd': 44.565237945, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190948.00', 'gps_qual': '4', 'latitude': '4433.9143642', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '47.390', 'easting': 2279876.173706011, 'geo_sep': '', 'northing': 103627.77364030108, 'lat_direction': 'N', 'lond': 123.27159874166666, 'longitude': '12316.2959245', 'latd': 44.56523940333334, 'geo_sep_units': '', 'ref_station_id': '0244*16\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
2{'timestamp': '190947.00', 'gps_qual': '4', 'latitude': '4433.9142748', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.383', 'easting': 2279876.63788428, 'geo_sep': '', 'northing': 103627.59204721916, 'lat_direction': 'N', 'lond': 123.27159282333334, 'longitude': '12316.2955694', 'latd': 44.565237913333334, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
1{'timestamp': '190947.00', 'gps_qual': '4', 'latitude': '4433.9142748', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '47.383', 'easting': 2279876.63788428, 'geo_sep': '', 'northing': 103627.59204721916, 'lat_direction': 'N', 'lond': 123.27159282333334, 'longitude': '12316.2955694', 'latd': 44.565237913333334, 'geo_sep_units': '', 'ref_station_id': '0244*1F\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190949.00', 'gps_qual': '4', 'latitude': '4433.9143653', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.388', 'easting': 2279876.171658816, 'geo_sep': '', 'northing': 103627.77574891597, 'lat_direction': 'N', 'lond': 123.27159876833333, 'longitude': '12316.2959261', 'latd': 44.56523942166667, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190939.00', 'gps_qual': '4', 'latitude': '4433.9141841', 'age_gps_data': '0.74', 'lon_direction': 'W', 'antenna_altitude': '47.388', 'easting': 2279877.1074049897, 'geo_sep': '', 'northing': 103627.40786185581, 'lat_direction': 'N', 'lond': 123.27158683666667, 'longitude': '12316.2952102', 'latd': 44.56523640166667, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '190948.00', 'gps_qual': '4', 'latitude': '4433.9142758', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '47.383', 'easting': 2279876.636756951, 'geo_sep': '', 'northing': 103627.59393895976, 'lat_direction': 'N', 'lond': 123.27159283833333, 'longitude': '12316.2955703', 'latd': 44.56523793, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190950.00', 'gps_qual': '4', 'latitude': '4433.9143638', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '47.384', 'easting': 2279876.1740775546, 'geo_sep': '', 'northing': 103627.77288633026, 'lat_direction': 'N', 'lond': 123.27159873666666, 'longitude': '12316.2959242', 'latd': 44.56523939666667, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190940.00', 'gps_qual': '4', 'latitude': '4433.9141865', 'age_gps_data': '0.49', 'lon_direction': 'W', 'antenna_altitude': '47.399', 'easting': 2279877.108880607, 'geo_sep': '', 'northing': 103627.41225853749, 'lat_direction': 'N', 'lond': 123.27158682, 'longitude': '12316.2952092', 'latd': 44.56523644166667, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '190949.00', 'gps_qual': '4', 'latitude': '4433.9142750', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '47.381', 'easting': 2279876.638029301, 'geo_sep': '', 'northing': 103627.59241285268, 'lat_direction': 'N', 'lond': 123.27159282166667, 'longitude': '12316.2955693', 'latd': 44.56523791666667, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190951.00', 'gps_qual': '4', 'latitude': '4433.9143627', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '47.390', 'easting': 2279876.174007682, 'geo_sep': '', 'northing': 103627.77085037064, 'lat_direction': 'N', 'lond': 123.27159873666666, 'longitude': '12316.2959242', 'latd': 44.56523937833333, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
1{'timestamp': '190950.00', 'gps_qual': '4', 'latitude': '4433.9142746', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.386', 'easting': 2279876.637077676, 'geo_sep': '', 'northing': 103627.59170429222, 'lat_direction': 'N', 'lond': 123.27159283333333, 'longitude': '12316.2955700', 'latd': 44.56523791, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
2{'timestamp': '190950.00', 'gps_qual': '4', 'latitude': '4433.9142746', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '47.386', 'easting': 2279876.637077676, 'geo_sep': '', 'northing': 103627.59170429222, 'lat_direction': 'N', 'lond': 123.27159283333333, 'longitude': '12316.2955700', 'latd': 44.56523791, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '08', 'horizontal_dil': '0.9', 'altitude_units': 'M'}
3{'timestamp': '190952.00', 'gps_qual': '4', 'latitude': '4433.9143646', 'age_gps_data': '0.53', 'lon_direction': 'W', 'antenna_altitude': '47.380', 'easting': 2279876.1746576387, 'geo_sep': '', 'northing': 103627.7743488634, 'lat_direction': 'N', 'lond': 123.27159873, 'longitude': '12316.2959238', 'latd': 44.56523941, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '09', 'horizontal_dil': '0.8', 'altitude_units': 'M'}
