1{'age_gps_data': '0.35', 'easting': 2279610.8383571426, 'latd': 44.567430693333336, 'lat_direction': 'N', 'timestamp': '024402.00', 'lond': 123.27504624333334, 'gps_qual': '2', 'ref_station_id': '0375*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027746', 'antenna_altitude': '51.991', 'geo_sep': '', 'latitude': '4434.0458416', 'num_sats': '08', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103880.52003812883}
2{'age_gps_data': '0.06', 'easting': 2279611.0187333385, 'latd': 44.56745608333333, 'lat_direction': 'N', 'timestamp': '024404.00', 'lond': 123.27504519166666, 'gps_qual': '2', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027115', 'antenna_altitude': '53.731', 'geo_sep': '', 'latitude': '4434.0473650', 'num_sats': '07', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103883.33678324427}
1{'age_gps_data': '0.13', 'easting': 2279610.8391113603, 'latd': 44.567430995, 'lat_direction': 'N', 'timestamp': '024403.00', 'lond': 123.27504624833334, 'gps_qual': '2', 'ref_station_id': '0375*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027749', 'antenna_altitude': '52.027', 'geo_sep': '', 'latitude': '4434.0458597', 'num_sats': '07', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103880.55355249904}
3{'age_gps_data': '', 'easting': 2279610.727340455, 'latd': 44.567475558333335, 'lat_direction': 'N', 'timestamp': '024405.00', 'lond': 123.27504979833333, 'gps_qual': '1', 'ref_station_id': '*0D\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5029879', 'antenna_altitude': '47.580', 'geo_sep': '', 'latitude': '4434.0485335', 'num_sats': '12', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103885.51209026296}
2{'age_gps_data': '0.39', 'easting': 2279611.0330034145, 'latd': 44.56745677166667, 'lat_direction': 'N', 'timestamp': '024405.00', 'lond': 123.275045045, 'gps_qual': '2', 'ref_station_id': '0375*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027027', 'antenna_altitude': '53.747', 'geo_sep': '', 'latitude': '4434.0474063', 'num_sats': '07', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103883.4128240468}
3{'age_gps_data': '', 'easting': 2279611.1045789234, 'latd': 44.56748738666667, 'lat_direction': 'N', 'timestamp': '024406.00', 'lond': 123.275045615, 'gps_qual': '1', 'ref_station_id': '*08\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027369', 'antenna_altitude': '47.846', 'geo_sep': '', 'latitude': '4434.0492432', 'num_sats': '11', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103886.81424035225}
1{'age_gps_data': '1.13', 'easting': 2279610.834083521, 'latd': 44.567430995, 'lat_direction': 'N', 'timestamp': '024404.00', 'lond': 123.27504631166667, 'gps_qual': '2', 'ref_station_id': '0375*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027787', 'antenna_altitude': '52.046', 'geo_sep': '', 'latitude': '4434.0458597', 'num_sats': '07', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103880.5537252659}
2{'age_gps_data': '0.14', 'easting': 2279611.035318439, 'latd': 44.56745737833333, 'lat_direction': 'N', 'timestamp': '024406.00', 'lond': 123.275045045, 'gps_qual': '2', 'ref_station_id': '0375*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027027', 'antenna_altitude': '53.805', 'geo_sep': '', 'latitude': '4434.0474427', 'num_sats': '07', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103883.48019568063}
3{'age_gps_data': '', 'easting': 2279612.1299910885, 'latd': 44.56747213, 'lat_direction': 'N', 'timestamp': '024407.00', 'lond': 123.275031965, 'gps_qual': '1', 'ref_station_id': '*08\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5019179', 'antenna_altitude': '43.715', 'geo_sep': '', 'latitude': '4434.0483278', 'num_sats': '10', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103885.08271915186}
1{'age_gps_data': '0.27', 'easting': 2279610.8325046357, 'latd': 44.567431066666664, 'lat_direction': 'N', 'timestamp': '024405.00', 'lond': 123.275046335, 'gps_qual': '2', 'ref_station_id': '0375*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027801', 'antenna_altitude': '52.077', 'geo_sep': '', 'latitude': '4434.0458640', 'num_sats': '07', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103880.56174765341}
2{'age_gps_data': '1.14', 'easting': 2279611.041025178, 'latd': 44.56745804166667, 'lat_direction': 'N', 'timestamp': '024407.00', 'lond': 123.275045005, 'gps_qual': '2', 'ref_station_id': '0375*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5027003', 'antenna_altitude': '53.865', 'geo_sep': '', 'latitude': '4434.0474825', 'num_sats': '07', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103883.5537511548}
