1{'age_gps_data': '0.75', 'easting': 2279609.942194244, 'latd': 44.567426875, 'lat_direction': 'N', 'timestamp': '034808.00', 'lond': 123.27505734833333, 'gps_qual': '4', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034409', 'antenna_altitude': '50.430', 'geo_sep': '', 'latitude': '4434.0456125', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.12629736774}
2{'age_gps_data': '0.75', 'easting': 2279609.9963269047, 'latd': 44.56743142166667, 'lat_direction': 'N', 'timestamp': '034812.00', 'lond': 123.275056885, 'gps_qual': '4', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034131', 'antenna_altitude': '50.482', 'geo_sep': '', 'latitude': '4434.0458853', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.62995051965}
3{'age_gps_data': '0.47', 'easting': 2279610.0401761685, 'latd': 44.56743594333334, 'lat_direction': 'N', 'timestamp': '034812.00', 'lond': 123.27505655, 'gps_qual': '4', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033930', 'antenna_altitude': '50.510', 'geo_sep': '', 'latitude': '4434.0461566', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.1311774496}
1{'age_gps_data': '0.57', 'easting': 2279609.9489230555, 'latd': 44.56742687, 'lat_direction': 'N', 'timestamp': '034809.00', 'lond': 123.27505726333334, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034358', 'antenna_altitude': '50.436', 'geo_sep': '', 'latitude': '4434.0456122', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.12551023532}
2{'age_gps_data': '0.43', 'easting': 2279610.0026155105, 'latd': 44.56743144, 'lat_direction': 'N', 'timestamp': '034813.00', 'lond': 123.27505680666667, 'gps_qual': '4', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034084', 'antenna_altitude': '50.508', 'geo_sep': '', 'latitude': '4434.0458864', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.63177278917}
3{'age_gps_data': '0.75', 'easting': 2279610.045078056, 'latd': 44.567435945, 'lat_direction': 'N', 'timestamp': '034813.00', 'lond': 123.27505648833333, 'gps_qual': '4', 'ref_station_id': '0244*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033893', 'antenna_altitude': '50.523', 'geo_sep': '', 'latitude': '4434.0461567', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.13119431492}
1{'age_gps_data': '0.32', 'easting': 2279609.9481609864, 'latd': 44.567426878333336, 'lat_direction': 'N', 'timestamp': '034810.00', 'lond': 123.27505727333333, 'gps_qual': '4', 'ref_station_id': '0244*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034364', 'antenna_altitude': '50.436', 'geo_sep': '', 'latitude': '4434.0456127', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.12646294758}
2{'age_gps_data': '0.77', 'easting': 2279610.003428459, 'latd': 44.567431445, 'lat_direction': 'N', 'timestamp': '034814.00', 'lond': 123.27505679666666, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034078', 'antenna_altitude': '50.495', 'geo_sep': '', 'latitude': '4434.0458867', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.63230076991}
3{'age_gps_data': '0.70', 'easting': 2279610.046509292, 'latd': 44.56743597333333, 'lat_direction': 'N', 'timestamp': '034814.00', 'lond': 123.27505647166667, 'gps_qual': '4', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033883', 'antenna_altitude': '50.511', 'geo_sep': '', 'latitude': '4434.0461584', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.13429532852}
1{'age_gps_data': '0.68', 'easting': 2279609.9462768254, 'latd': 44.56742687, 'lat_direction': 'N', 'timestamp': '034811.00', 'lond': 123.27505729666666, 'gps_qual': '4', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034378', 'antenna_altitude': '50.433', 'geo_sep': '', 'latitude': '4434.0456122', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.125601165}
2{'age_gps_data': '0.47', 'easting': 2279609.9996792143, 'latd': 44.56743143333333, 'lat_direction': 'N', 'timestamp': '034815.00', 'lond': 123.27505684333333, 'gps_qual': '4', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034106', 'antenna_altitude': '50.485', 'geo_sep': '', 'latitude': '4434.0458860', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.63113246486}
