{'timestamp': '041403.00', 'gps_qual': '4', 'latitude': '4434.0458845', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '50.432', 'easting': 2279609.991512808, 'geo_sep': '', 'northing': 103880.62863349821, 'lat_direction': 'N', 'lond': 123.275056945, 'longitude': '12316.5034167', 'latd': 44.567431408333334, 'geo_sep_units': '', 'ref_station_id': '0244*18\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041404.00', 'gps_qual': '4', 'latitude': '4434.0458848', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '50.430', 'easting': 2279609.9894149024, 'geo_sep': '', 'northing': 103880.62926150393, 'lat_direction': 'N', 'lond': 123.27505697166667, 'longitude': '12316.5034183', 'latd': 44.56743141333333, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041405.00', 'gps_qual': '4', 'latitude': '4434.0458864', 'age_gps_data': '0.75', 'lon_direction': 'W', 'antenna_altitude': '50.425', 'easting': 2279609.991236713, 'geo_sep': '', 'northing': 103880.63216379005, 'lat_direction': 'N', 'lond': 123.27505695, 'longitude': '12316.5034170', 'latd': 44.56743144, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041406.00', 'gps_qual': '4', 'latitude': '4434.0458856', 'age_gps_data': '0.32', 'lon_direction': 'W', 'antenna_altitude': '50.428', 'easting': 2279609.991582768, 'geo_sep': '', 'northing': 103880.63066945411, 'lat_direction': 'N', 'lond': 123.275056945, 'longitude': '12316.5034167', 'latd': 44.567431426666666, 'geo_sep_units': '', 'ref_station_id': '0244*1A\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041407.00', 'gps_qual': '4', 'latitude': '4434.0458853', 'age_gps_data': '0.64', 'lon_direction': 'W', 'antenna_altitude': '50.426', 'easting': 2279609.993416051, 'geo_sep': '', 'northing': 103880.6300505437, 'lat_direction': 'N', 'lond': 123.27505692166666, 'longitude': '12316.5034153', 'latd': 44.56743142166667, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041408.00', 'gps_qual': '4', 'latitude': '4434.0458846', 'age_gps_data': '0.75', 'lon_direction': 'W', 'antenna_altitude': '50.419', 'easting': 2279609.9886083133, 'geo_sep': '', 'northing': 103880.62891860865, 'lat_direction': 'N', 'lond': 123.27505698166667, 'longitude': '12316.5034189', 'latd': 44.56743141, 'geo_sep_units': '', 'ref_station_id': '0244*14\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041409.00', 'gps_qual': '4', 'latitude': '4434.0458853', 'age_gps_data': '0.65', 'lon_direction': 'W', 'antenna_altitude': '50.424', 'easting': 2279609.9910344416, 'geo_sep': '', 'northing': 103880.63013238087, 'lat_direction': 'N', 'lond': 123.27505695166667, 'longitude': '12316.5034171', 'latd': 44.56743142166667, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041410.00', 'gps_qual': '4', 'latitude': '4434.0458842', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '50.426', 'easting': 2279609.9881859384, 'geo_sep': '', 'northing': 103880.62819189951, 'lat_direction': 'N', 'lond': 123.27505698666667, 'longitude': '12316.5034192', 'latd': 44.56743140333333, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041411.00', 'gps_qual': '4', 'latitude': '4434.0458834', 'age_gps_data': '0.48', 'lon_direction': 'W', 'antenna_altitude': '50.425', 'easting': 2279609.991972095, 'geo_sep': '', 'northing': 103880.62657935731, 'lat_direction': 'N', 'lond': 123.27505693833334, 'longitude': '12316.5034163', 'latd': 44.56743139, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041412.00', 'gps_qual': '4', 'latitude': '4434.0458855', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '50.422', 'easting': 2279609.990517914, 'geo_sep': '', 'northing': 103880.63052074146, 'lat_direction': 'N', 'lond': 123.27505695833334, 'longitude': '12316.5034175', 'latd': 44.567431425, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041413.00', 'gps_qual': '4', 'latitude': '4434.0458849', 'age_gps_data': '0.36', 'lon_direction': 'W', 'antenna_altitude': '50.426', 'easting': 2279609.989288952, 'geo_sep': '', 'northing': 103880.62945113704, 'lat_direction': 'N', 'lond': 123.27505697333334, 'longitude': '12316.5034184', 'latd': 44.567431415, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
