{'timestamp': '040957.00', 'gps_qual': '4', 'latitude': '4434.0458808', 'age_gps_data': '0.69', 'lon_direction': 'W', 'antenna_altitude': '50.383', 'easting': 2279609.9722246183, 'geo_sep': '', 'northing': 103880.62243998144, 'lat_direction': 'N', 'lond': 123.275057185, 'longitude': '12316.5034311', 'latd': 44.567431346666666, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '040958.00', 'gps_qual': '4', 'latitude': '4434.0458800', 'age_gps_data': '0.21', 'lon_direction': 'W', 'antenna_altitude': '50.381', 'easting': 2279609.972967608, 'geo_sep': '', 'northing': 103880.62093200721, 'lat_direction': 'N', 'lond': 123.275057175, 'longitude': '12316.5034305', 'latd': 44.56743133333333, 'geo_sep_units': '', 'ref_station_id': '0244*1E\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '040959.00', 'gps_qual': '4', 'latitude': '4434.0458804', 'age_gps_data': '0.61', 'lon_direction': 'W', 'antenna_altitude': '50.376', 'easting': 2279609.9735222952, 'geo_sep': '', 'northing': 103880.62165416777, 'lat_direction': 'N', 'lond': 123.27505716833333, 'longitude': '12316.5034301', 'latd': 44.56743134, 'geo_sep_units': '', 'ref_station_id': '0244*13\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041000.00', 'gps_qual': '4', 'latitude': '4434.0458794', 'age_gps_data': '0.75', 'lon_direction': 'W', 'antenna_altitude': '50.383', 'easting': 2279609.9746494996, 'geo_sep': '', 'northing': 103880.61976237968, 'lat_direction': 'N', 'lond': 123.27505715333334, 'longitude': '12316.5034292', 'latd': 44.56743132333333, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041001.00', 'gps_qual': '4', 'latitude': '4434.0458806', 'age_gps_data': '0.43', 'lon_direction': 'W', 'antenna_altitude': '50.378', 'easting': 2279609.971947277, 'geo_sep': '', 'northing': 103880.62207890023, 'lat_direction': 'N', 'lond': 123.27505718833334, 'longitude': '12316.5034313', 'latd': 44.56743134333333, 'geo_sep_units': '', 'ref_station_id': '0244*19\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041002.00', 'gps_qual': '4', 'latitude': '4434.0458809', 'age_gps_data': '0.50', 'lon_direction': 'W', 'antenna_altitude': '50.370', 'easting': 2279609.975009522, 'geo_sep': '', 'northing': 103880.62252959143, 'lat_direction': 'N', 'lond': 123.27505715, 'longitude': '12316.5034290', 'latd': 44.567431348333336, 'geo_sep_units': '', 'ref_station_id': '0244*15\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041003.00', 'gps_qual': '4', 'latitude': '4434.0458812', 'age_gps_data': '0.75', 'lon_direction': 'W', 'antenna_altitude': '50.374', 'easting': 2279609.972514681, 'geo_sep': '', 'northing': 103880.6231712345, 'lat_direction': 'N', 'lond': 123.27505718166667, 'longitude': '12316.5034309', 'latd': 44.56743135333333, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041004.00', 'gps_qual': '4', 'latitude': '4434.0458797', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '50.377', 'easting': 2279609.973477775, 'geo_sep': '', 'northing': 103880.62035855837, 'lat_direction': 'N', 'lond': 123.27505716833333, 'longitude': '12316.5034301', 'latd': 44.567431328333335, 'geo_sep_units': '', 'ref_station_id': '0244*12\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041005.00', 'gps_qual': '4', 'latitude': '4434.0458828', 'age_gps_data': '0.71', 'lon_direction': 'W', 'antenna_altitude': '50.369', 'easting': 2279609.9690440283, 'geo_sep': '', 'northing': 103880.62625538092, 'lat_direction': 'N', 'lond': 123.27505722666666, 'longitude': '12316.5034336', 'latd': 44.56743138, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041006.00', 'gps_qual': '4', 'latitude': '4434.0458827', 'age_gps_data': '0.25', 'lon_direction': 'W', 'antenna_altitude': '50.374', 'easting': 2279609.9732716386, 'geo_sep': '', 'northing': 103880.62592480518, 'lat_direction': 'N', 'lond': 123.27505717333334, 'longitude': '12316.5034304', 'latd': 44.56743137833333, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041007.00', 'gps_qual': '4', 'latitude': '4434.0458843', 'age_gps_data': '0.57', 'lon_direction': 'W', 'antenna_altitude': '50.379', 'easting': 2279609.9719179715, 'geo_sep': '', 'northing': 103880.62893620878, 'lat_direction': 'N', 'lond': 123.27505719166666, 'longitude': '12316.5034315', 'latd': 44.567431405, 'geo_sep_units': '', 'ref_station_id': '0244*1C\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041008.00', 'gps_qual': '4', 'latitude': '4434.0458827', 'age_gps_data': '0.73', 'lon_direction': 'W', 'antenna_altitude': '50.373', 'easting': 2279609.971154654, 'geo_sep': '', 'northing': 103880.62599754985, 'lat_direction': 'N', 'lond': 123.2750572, 'longitude': '12316.5034320', 'latd': 44.56743137833333, 'geo_sep_units': '', 'ref_station_id': '0244*1B\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041009.00', 'gps_qual': '4', 'latitude': '4434.0458842', 'age_gps_data': '0.46', 'lon_direction': 'W', 'antenna_altitude': '50.373', 'easting': 2279609.972440858, 'geo_sep': '', 'northing': 103880.6287329346, 'lat_direction': 'N', 'lond': 123.275057185, 'longitude': '12316.5034311', 'latd': 44.56743140333333, 'geo_sep_units': '', 'ref_station_id': '0244*1D\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041010.00', 'gps_qual': '4', 'latitude': '4434.0458826', 'age_gps_data': '0.65', 'lon_direction': 'W', 'antenna_altitude': '50.382', 'easting': 2279609.972736032, 'geo_sep': '', 'northing': 103880.62575790565, 'lat_direction': 'N', 'lond': 123.27505718, 'longitude': '12316.5034308', 'latd': 44.56743137666667, 'geo_sep_units': '', 'ref_station_id': '0244*10\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
{'timestamp': '041011.00', 'gps_qual': '4', 'latitude': '4434.0458829', 'age_gps_data': '0.72', 'lon_direction': 'W', 'antenna_altitude': '50.385', 'easting': 2279609.973813606, 'geo_sep': '', 'northing': 103880.62627679296, 'lat_direction': 'N', 'lond': 123.27505716666667, 'longitude': '12316.5034300', 'latd': 44.567431381666665, 'geo_sep_units': '', 'ref_station_id': '0244*17\r\n', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M'}
