1{'age_gps_data': '0.64', 'easting': 2279609.9303231137, 'latd': 44.56742685, 'lat_direction': 'N', 'timestamp': '040800.00', 'lond': 123.27505749666666, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034498', 'antenna_altitude': '50.436', 'geo_sep': '', 'latitude': '4434.0456110', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103880.12392570265}
2{'age_gps_data': '0.75', 'easting': 2279609.9764408777, 'latd': 44.567431203333335, 'lat_direction': 'N', 'timestamp': '040802.00', 'lond': 123.275057125, 'gps_qual': '4', 'ref_station_id': '0244*16\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034275', 'antenna_altitude': '50.455', 'geo_sep': '', 'latitude': '4434.0458722', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103880.60635883268}
1{'age_gps_data': '0.73', 'easting': 2279609.925660405, 'latd': 44.567426841666666, 'lat_direction': 'N', 'timestamp': '040801.00', 'lond': 123.275057555, 'gps_qual': '4', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034533', 'antenna_altitude': '50.426', 'geo_sep': '', 'latitude': '4434.0456105', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103880.1231593974}
3{'age_gps_data': '0.50', 'easting': 2279610.026172836, 'latd': 44.567435845, 'lat_direction': 'N', 'timestamp': '040803.00', 'lond': 123.27505672166667, 'gps_qual': '4', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034033', 'antenna_altitude': '50.472', 'geo_sep': '', 'latitude': '4434.0461507', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103881.12072561216}
2{'age_gps_data': '0.68', 'easting': 2279609.9770909636, 'latd': 44.567431235, 'lat_direction': 'N', 'timestamp': '040803.00', 'lond': 123.27505711833334, 'gps_qual': '4', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034271', 'antenna_altitude': '50.451', 'geo_sep': '', 'latitude': '4434.0458741', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103880.60985729657}
3{'age_gps_data': '0.67', 'easting': 2279610.022838358, 'latd': 44.56743580333333, 'lat_direction': 'N', 'timestamp': '040804.00', 'lond': 123.27505676166666, 'gps_qual': '4', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034057', 'antenna_altitude': '50.471', 'geo_sep': '', 'latitude': '4434.0461482', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103881.11620755494}
1{'age_gps_data': '0.29', 'easting': 2279609.9270216837, 'latd': 44.56742685166667, 'lat_direction': 'N', 'timestamp': '040802.00', 'lond': 123.27505753833333, 'gps_qual': '4', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034523', 'antenna_altitude': '50.429', 'geo_sep': '', 'latitude': '4434.0456111', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103880.12422445416}
2{'age_gps_data': '0.71', 'easting': 2279609.9726229203, 'latd': 44.56743120833333, 'lat_direction': 'N', 'timestamp': '040804.00', 'lond': 123.27505717333334, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034304', 'antenna_altitude': '50.447', 'geo_sep': '', 'latitude': '4434.0458725', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103880.60704594199}
1{'age_gps_data': '0.54', 'easting': 2279609.9302671202, 'latd': 44.56742687, 'lat_direction': 'N', 'timestamp': '040803.00', 'lond': 123.27505749833334, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034499', 'antenna_altitude': '50.438', 'geo_sep': '', 'latitude': '4434.0456122', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103880.12615129352}
3{'age_gps_data': '0.32', 'easting': 2279610.0288814195, 'latd': 44.56743582666667, 'lat_direction': 'N', 'timestamp': '040805.00', 'lond': 123.27505668666667, 'gps_qual': '4', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034012', 'antenna_altitude': '50.481', 'geo_sep': '', 'latitude': '4434.0461496', 'num_sats': '06', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103881.11859418079}
2{'age_gps_data': '0.35', 'easting': 2279609.9771164036, 'latd': 44.56743124166667, 'lat_direction': 'N', 'timestamp': '040805.00', 'lond': 123.27505711833334, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034271', 'antenna_altitude': '50.443', 'geo_sep': '', 'latitude': '4434.0458745', 'num_sats': '07', 'horizontal_dil': '1.2', 'altitude_units': 'M', 'northing': 103880.61059764493}
