1{'age_gps_data': '0.24', 'easting': 2279781.3118146765, 'latd': 44.56516555, 'lat_direction': 'N', 'timestamp': '200237.00', 'lond': 123.27279007833333, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674047', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9099330', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.81868818495}
2{'age_gps_data': '0.51', 'easting': 2279780.8223305894, 'latd': 44.565166336666664, 'lat_direction': 'N', 'timestamp': '200243.00', 'lond': 123.27279628166667, 'gps_qual': '4', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677769', 'antenna_altitude': '47.660', 'geo_sep': '', 'latitude': '4433.9099802', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.92295826599}
3{'age_gps_data': '0.59', 'easting': 2279781.310654464, 'latd': 44.565165523333334, 'lat_direction': 'N', 'timestamp': '200238.00', 'lond': 123.27279009166666, 'gps_qual': '4', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674055', 'antenna_altitude': '47.658', 'geo_sep': '', 'latitude': '4433.9099314', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.81576313637}
1{'age_gps_data': '0.59', 'easting': 2279781.310654464, 'latd': 44.565165523333334, 'lat_direction': 'N', 'timestamp': '200238.00', 'lond': 123.27279009166666, 'gps_qual': '4', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674055', 'antenna_altitude': '47.658', 'geo_sep': '', 'latitude': '4433.9099314', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.81576313637}
2{'age_gps_data': '0.39', 'easting': 2279780.820691947, 'latd': 44.56516632333334, 'lat_direction': 'N', 'timestamp': '200244.00', 'lond': 123.27279630166667, 'gps_qual': '4', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677781', 'antenna_altitude': '47.670', 'geo_sep': '', 'latitude': '4433.9099794', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.92153208796}
3{'age_gps_data': '0.47', 'easting': 2279780.3216145593, 'latd': 44.565167196666664, 'lat_direction': 'N', 'timestamp': '200245.00', 'lond': 123.27280263, 'gps_qual': '4', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681578', 'antenna_altitude': '47.653', 'geo_sep': '', 'latitude': '4433.9100318', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103623.03576745745}
1{'age_gps_data': '0.45', 'easting': 2279781.3067918536, 'latd': 44.56516551666667, 'lat_direction': 'N', 'timestamp': '200239.00', 'lond': 123.27279014, 'gps_qual': '4', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3674084', 'antenna_altitude': '47.651', 'geo_sep': '', 'latitude': '4433.9099310', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.81515453383}
2{'age_gps_data': '0.77', 'easting': 2279780.821612946, 'latd': 44.565166356666666, 'lat_direction': 'N', 'timestamp': '200245.00', 'lond': 123.27279629166667, 'gps_qual': '4', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677775', 'antenna_altitude': '47.671', 'geo_sep': '', 'latitude': '4433.9099814', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.92520657089}
3{'age_gps_data': '0.29', 'easting': 2279780.322496293, 'latd': 44.565167185, 'lat_direction': 'N', 'timestamp': '200246.00', 'lond': 123.27280261833333, 'gps_qual': '4', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3681571', 'antenna_altitude': '47.652', 'geo_sep': '', 'latitude': '4433.9100311', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103623.03444004711}
1{'age_gps_data': '0.59', 'easting': 2279780.821895512, 'latd': 44.56516632666667, 'lat_direction': 'N', 'timestamp': '200246.00', 'lond': 123.27279628666666, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677772', 'antenna_altitude': '47.666', 'geo_sep': '', 'latitude': '4433.9099796', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.92186137475}
2{'age_gps_data': '0.59', 'easting': 2279780.821895512, 'latd': 44.56516632666667, 'lat_direction': 'N', 'timestamp': '200246.00', 'lond': 123.27279628666666, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.3677772', 'antenna_altitude': '47.666', 'geo_sep': '', 'latitude': '4433.9099796', 'num_sats': '09', 'horizontal_dil': '0.9', 'altitude_units': 'M', 'northing': 103622.92186137475}
