1{'age_gps_data': '', 'easting': 2279608.5212053084, 'latd': 44.56745247333333, 'lat_direction': 'N', 'timestamp': '031734.00', 'lond': 123.27507647833333, 'gps_qual': '1', 'ref_station_id': '*01\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5045887', 'antenna_altitude': '51.719', 'geo_sep': '', 'latitude': '4434.0471484', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.02123218309}
1{'age_gps_data': '', 'easting': 2279608.56335578, 'latd': 44.56745388, 'lat_direction': 'N', 'timestamp': '031735.00', 'lond': 123.275076015, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5045609', 'antenna_altitude': '50.684', 'geo_sep': '', 'latitude': '4434.0472328', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.17618159298}
1{'age_gps_data': '', 'easting': 2279608.687197213, 'latd': 44.56745523166666, 'lat_direction': 'N', 'timestamp': '031736.00', 'lond': 123.27507452, 'gps_qual': '1', 'ref_station_id': '*0A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044712', 'antenna_altitude': '50.675', 'geo_sep': '', 'latitude': '4434.0473139', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.3222088283}
1{'age_gps_data': '', 'easting': 2279608.7627601484, 'latd': 44.567456656666664, 'lat_direction': 'N', 'timestamp': '031737.00', 'lond': 123.27507363666666, 'gps_qual': '1', 'ref_station_id': '*0C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044182', 'antenna_altitude': '50.636', 'geo_sep': '', 'latitude': '4434.0473994', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.47804846708}
1{'age_gps_data': '', 'easting': 2279608.63368077, 'latd': 44.56745559666667, 'lat_direction': 'N', 'timestamp': '031738.00', 'lond': 123.27507521166666, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5045127', 'antenna_altitude': '50.770', 'geo_sep': '', 'latitude': '4434.0473358', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.3646296747}
1{'age_gps_data': '', 'easting': 2279608.6787372497, 'latd': 44.567452806666665, 'lat_direction': 'N', 'timestamp': '031739.00', 'lond': 123.27507451, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044706', 'antenna_altitude': '50.612', 'geo_sep': '', 'latitude': '4434.0471684', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.05288010184}
1{'age_gps_data': '', 'easting': 2279608.7476174934, 'latd': 44.56745376333333, 'lat_direction': 'N', 'timestamp': '031740.00', 'lond': 123.27507368833334, 'gps_qual': '1', 'ref_station_id': '*00\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044213', 'antenna_altitude': '50.824', 'geo_sep': '', 'latitude': '4434.0472258', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.15687854216}
1{'age_gps_data': '', 'easting': 2279608.7210173197, 'latd': 44.567452548333335, 'lat_direction': 'N', 'timestamp': '031741.00', 'lond': 123.275073965, 'gps_qual': '1', 'ref_station_id': '*03\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044379', 'antenna_altitude': '50.524', 'geo_sep': '', 'latitude': '4434.0471529', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.02270491328}
1{'age_gps_data': '', 'easting': 2279608.7589184847, 'latd': 44.567454055, 'lat_direction': 'N', 'timestamp': '031742.00', 'lond': 123.27507356, 'gps_qual': '1', 'ref_station_id': '*07\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5044136', 'antenna_altitude': '50.949', 'geo_sep': '', 'latitude': '4434.0472433', 'num_sats': '12', 'horizontal_dil': '0.8', 'altitude_units': 'M', 'northing': 103883.18891866785}
1{'age_gps_data': '0.60', 'easting': 2279609.746557681, 'latd': 44.56743593833333, 'lat_direction': 'N', 'timestamp': '031743.00', 'lond': 123.27506024833333, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5036149', 'antenna_altitude': '52.876', 'geo_sep': '', 'latitude': '4434.0461563', 'num_sats': '07', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103881.14071089868}
1{'age_gps_data': '0.74', 'easting': 2279609.7395515265, 'latd': 44.56743594, 'lat_direction': 'N', 'timestamp': '031744.00', 'lond': 123.27506033666667, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5036202', 'antenna_altitude': '52.884', 'geo_sep': '', 'latitude': '4434.0461564', 'num_sats': '07', 'horizontal_dil': '1.3', 'altitude_units': 'M', 'northing': 103881.14113695174}
