1{'age_gps_data': '0.32', 'easting': 2279609.947242414, 'latd': 44.567426915, 'lat_direction': 'N', 'timestamp': '035040.00', 'lond': 123.27505728666667, 'gps_qual': '4', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034372', 'antenna_altitude': '50.408', 'geo_sep': '', 'latitude': '4434.0456149', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.13057123218}
2{'age_gps_data': '0.58', 'easting': 2279609.9900739635, 'latd': 44.56743134333333, 'lat_direction': 'N', 'timestamp': '035042.00', 'lond': 123.27505696, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034176', 'antenna_altitude': '50.449', 'geo_sep': '', 'latitude': '4434.0458806', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.6214560289}
3{'age_gps_data': '0.74', 'easting': 2279610.0315479795, 'latd': 44.56743586666666, 'lat_direction': 'N', 'timestamp': '035043.00', 'lond': 123.275056655, 'gps_qual': '4', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033993', 'antenna_altitude': '50.450', 'geo_sep': '', 'latitude': '4434.0461520', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.12294988055}
1{'age_gps_data': '0.71', 'easting': 2279609.9498314066, 'latd': 44.5674269, 'lat_direction': 'N', 'timestamp': '035041.00', 'lond': 123.27505725333333, 'gps_qual': '4', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034352', 'antenna_altitude': '50.428', 'geo_sep': '', 'latitude': '4434.0456140', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.12881452031}
2{'age_gps_data': '0.20', 'easting': 2279609.9908614736, 'latd': 44.56743134166667, 'lat_direction': 'N', 'timestamp': '035043.00', 'lond': 123.27505695, 'gps_qual': '4', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034170', 'antenna_altitude': '50.452', 'geo_sep': '', 'latitude': '4434.0458805', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.62124366127}
3{'age_gps_data': '0.56', 'easting': 2279610.031479268, 'latd': 44.56743588333333, 'lat_direction': 'N', 'timestamp': '035044.00', 'lond': 123.27505665666666, 'gps_qual': '4', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033994', 'antenna_altitude': '50.446', 'geo_sep': '', 'latitude': '4434.0461530', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.12480529677}
1{'age_gps_data': '0.63', 'easting': 2279609.946442185, 'latd': 44.567426913333335, 'lat_direction': 'N', 'timestamp': '035042.00', 'lond': 123.27505729666666, 'gps_qual': '4', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034378', 'antenna_altitude': '50.416', 'geo_sep': '', 'latitude': '4434.0456148', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.13041342515}
2{'age_gps_data': '0.50', 'easting': 2279609.9910573857, 'latd': 44.56743135833333, 'lat_direction': 'N', 'timestamp': '035044.00', 'lond': 123.27505694833333, 'gps_qual': '4', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034169', 'antenna_altitude': '50.449', 'geo_sep': '', 'latitude': '4434.0458815', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.62308998406}
3{'age_gps_data': '0.38', 'easting': 2279610.035933342, 'latd': 44.56743587166667, 'lat_direction': 'N', 'timestamp': '035045.00', 'lond': 123.2750566, 'gps_qual': '4', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5033960', 'antenna_altitude': '50.456', 'geo_sep': '', 'latitude': '4434.0461523', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103881.12335510831}
1{'age_gps_data': '0.48', 'easting': 2279609.949208009, 'latd': 44.56742691, 'lat_direction': 'N', 'timestamp': '035043.00', 'lond': 123.27505726166666, 'gps_qual': '4', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034357', 'antenna_altitude': '50.434', 'geo_sep': '', 'latitude': '4434.0456146', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.12994777411}
2{'age_gps_data': '0.78', 'easting': 2279609.9958384344, 'latd': 44.567431328333335, 'lat_direction': 'N', 'timestamp': '035045.00', 'lond': 123.27505688666666, 'gps_qual': '4', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5034132', 'antenna_altitude': '50.462', 'geo_sep': '', 'latitude': '4434.0458797', 'num_sats': '06', 'horizontal_dil': '1.9', 'altitude_units': 'M', 'northing': 103880.61959019862}
